window,scenario,profile,seeds,coverage,qualified_coverage,tasks,assigned,qualified,qos_violations,ir_violations,target_violations,pps,design_reserve,execution_payment,settlement_over_reserve_slots,reserve_over_budget_slots,settlement_over_budget_slots,qos_violation_rate
w01,down_step,fixed_envelope,3,0.5250324254215305,0.5250324254215305,3855,2024,2024,0,0,0,0.5929319851187985,432.2390061044323,400.2976206099857,0,0,0,0.0
w01,down_step,frozen_point,3,0.7859922178988327,0.6186770428015564,3855,3030,2385,645,0,0,0.29985775668607434,320.02851126189177,302.80946358167984,0,0,0,0.21287128712871287
w01,stable,fixed_envelope,3,0.5250324254215305,0.5250324254215305,3855,2024,2024,0,0,0,0.6182476056007212,431.81436472253364,417.38354775721336,0,0,0,0.0
w01,stable,frozen_point,3,0.7859922178988327,0.7859922178988327,3855,3030,3030,0,0,0,0.3161788140599953,319.28923623330803,319.28923623330803,0,0,0,0.0
w01,up_step,fixed_envelope,3,0.5250324254215305,0.5250324254215305,3855,2024,2024,0,0,0,0.629330823065551,431.63012380011946,424.86279620854606,0,0,0,0.0
w01,up_step,frozen_point,3,0.7859922178988327,0.7859922178988327,3855,3030,3030,0,0,1695,0.3208915105933696,319.09154069566677,324.0476903188351,648,0,0,0.0
w02,down_step,fixed_envelope,3,0.532546494992847,0.532546494992847,5592,2978,2978,0,0,0,0.5963379013551794,636.5532652280245,590.8249879092566,0,0,0,0.0
w02,down_step,frozen_point,3,0.7868383404864092,0.6457439198855508,5592,4400,3611,789,0,0,0.3043007292079933,468.789192262504,445.9733525850445,0,0,0,0.17931818181818182
w02,stable,fixed_envelope,3,0.532546494992847,0.532546494992847,5592,2978,2978,0,0,0,0.6201766896071542,635.9303521861101,614.4591626483269,0,0,0,0.0
w02,stable,frozen_point,3,0.7868383404864092,0.7868383404864092,5592,4400,4400,0,0,0,0.31911126812615187,467.67800936567005,467.67800936567005,0,0,0,0.0
w02,up_step,fixed_envelope,3,0.532546494992847,0.532546494992847,5592,2978,2978,0,0,0,0.6306530286368853,635.6640988559179,624.8501673774178,0,0,0,0.0
w02,up_step,frozen_point,3,0.7868383404864092,0.7868383404864092,5592,4400,4400,0,0,2232,0.3232794507107082,467.3856486896218,473.7859305582386,806,0,0,0.0
w03,down_step,fixed_envelope,3,0.5237774786899956,0.5237774786899956,4458,2335,2335,0,0,0,0.6164266504287954,514.5722061551131,479.85592497883937,0,0,0,0.0
w03,down_step,frozen_point,3,0.7884701659937191,0.6527590847913863,4458,3515,2910,605,0,0,0.3092301313815565,379.41882691349383,362.2508712936308,0,0,0,0.1721194879089616
w03,stable,fixed_envelope,3,0.5237774786899956,0.5237774786899956,4458,2335,2335,0,0,0,0.6387766138081489,514.1651102845425,497.2550197103078,0,0,0,0.0
w03,stable,frozen_point,3,0.7884701659937191,0.7884701659937191,4458,3515,3515,0,0,0,0.32323686107147626,378.65955874018573,378.65955874018573,0,0,0,0.0
w03,up_step,fixed_envelope,3,0.5237774786899956,0.5237774786899956,4458,2335,2335,0,0,0,0.648539033444833,513.9899701462023,504.85506557120374,0,0,0,0.0
w03,up_step,frozen_point,3,0.7884701659937191,0.7884701659937191,4458,3515,3515,0,0,1667,0.3272075655907101,378.4585650149036,383.31131851170875,722,0,0,0.0
w04,down_step,fixed_envelope,3,0.5421279212792128,0.5421279212792128,3252,1763,1763,0,0,0,0.5884858661202707,371.5977110320852,346.2853671646106,0,0,0,0.0
w04,down_step,frozen_point,3,0.7979704797047971,0.6586715867158671,3252,2595,2142,453,0,0,0.2976354458847597,270.3012055454765,258.09986603585645,0,0,0,0.1745664739884393
w04,stable,fixed_envelope,3,0.5421279212792128,0.5421279212792128,3252,1763,1763,0,0,0,0.6097513545191845,371.23926595250737,358.79177670658896,0,0,0,0.0
w04,stable,frozen_point,3,0.7979704797047971,0.7979704797047971,3252,2595,2595,0,0,0,0.310962172100571,269.64831103196565,269.64831103196565,0,0,0,0.0
w04,up_step,fixed_envelope,3,0.5421279212792128,0.5421279212792128,3252,1763,1763,0,0,0,0.6190903528859796,371.08449053196114,364.2842106555053,0,0,0,0.0
w04,up_step,frozen_point,3,0.7979704797047971,0.7979704797047971,3252,2595,2595,0,0,1267,0.31474204906634234,269.47417548394054,272.9229275192206,655,0,0,0.0
w05,down_step,fixed_envelope,3,0.5352871820784908,0.5352871820784908,5937,3178,3178,0,0,0,0.6338396972570571,726.1280366093174,671.6611378081171,0,0,0,0.0
w05,down_step,frozen_point,3,0.7808657571163887,0.6291056088933805,5937,4636,3735,901,1,0,0.3222367090670138,526.0119853540364,498.09013706050786,0,0,0,0.1943485763589301
