seed,half_width,scenario,profile,run_id,n_episodes,tasks,assigned,qualified,coverage,qualified_coverage,qos_violations,qos_violation_rate,ir_violations,ir_violation_rate,target_violations,payment,pps,reserved_budget,available_budget,reservation_minus_settlement,slots_reservation_exceeds_budget,slots_settlement_exceeds_reservation,selected_contracts_settlement_exceeds_reserve,min_selected_objective_utility,information_checks,information_mismatches,max_decision_cost_drift,certificate_slots,certificate_failures,run_status,diagnostic_issues,event_tape_hash,spatial_graph_sha256,config_sha256,contract_protocol_version,decision_cost_basis,runtime_seconds,evaluation_protocol_version,settlement_cost_basis,robust_ir_policy,guarantee_scope,service_outcome_status,execution_status,settlement_over_reservation_slots,settlement_over_available_budget_slots,reservation_over_available_budget_slots,population_risk_certified,core_sha256,runner_sha256,contract_D_bar,matching_budget_ratio,design_physical_ceiling,design_ceiling_residual,slots_above_design_ceiling,slots_below_design_ceiling,ceiling_scope
2,0.3,down_step,fixed_envelope,r56_seed002__down_step__fixed_envelope,1,1777,991,991,0.5576814856499719,0.5576814856499719,0,0.0,0,0.0,0,539.336549232606,0.5442346611832553,581.130396040277,19654.97618304589,41.793846807671,0,0,0,0.09627465741810334,12024,0,0.0,5,0,ok,[],90802de520b36e165e706a53039ed472457876af802c6e97df3067a809147f5a,a513b7226598a13decacb11a74c87b9d4af43c80efedc379f0f00a027a173ec4,fe51af433945f05a524471880c1205d019f017778bb162ae1ad33acafc0d1e11,r51-free-action-design-only-v1,continuous_envelope_payment_upper_bound,4.554094600003737,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,continuous_box_sufficient_reserve_v1,conditional_on_declared_cost_response_state_bounds_and_known_weighting,passed_observed,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,991,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
2,0.3,down_step,frozen_point,r56_seed002__down_step__frozen_point,1,1777,1386,1152,0.7799662352279122,0.6482836240855374,234,0.16883116883116883,0,0.0,0,369.4735388196183,0.26657542483377944,388.827980084802,19654.97618304589,19.35444126518371,0,0,0,0.019919502901501962,12024,0,0.0,5,0,failed,"[""QoS violations: 234""]",90802de520b36e165e706a53039ed472457876af802c6e97df3067a809147f5a,a513b7226598a13decacb11a74c87b9d4af43c80efedc379f0f00a027a173ec4,9e1f91c6d10b94ceba8aad02e04308ee13023bbfbc2a48dc715f8f5d6d76e780,r51-free-action-design-only-v1,design_expected_payment,3.575495299999602,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1386,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
2,0.3,stable,fixed_envelope,r56_seed002__stable__fixed_envelope,1,1777,991,991,0.5576814856499719,0.5576814856499719,0,0.0,0,0.0,0,561.771057071578,0.5668729132911987,580.356595796264,19654.97618304589,18.58553872468599,0,0,0,0.12009968398051998,12024,0,0.0,5,0,ok,[],90802de520b36e165e706a53039ed472457876af802c6e97df3067a809147f5a,a513b7226598a13decacb11a74c87b9d4af43c80efedc379f0f00a027a173ec4,fe51af433945f05a524471880c1205d019f017778bb162ae1ad33acafc0d1e11,r51-free-action-design-only-v1,continuous_envelope_payment_upper_bound,4.523151499997766,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,continuous_box_sufficient_reserve_v1,conditional_on_declared_cost_response_state_bounds_and_known_weighting,passed_observed,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,991,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
2,0.3,stable,frozen_point,r56_seed002__stable__frozen_point,1,1777,1386,1386,0.7799662352279122,0.7799662352279122,0,0.0,0,0.0,0,387.57139749856736,0.2796330429282593,387.57139749856736,19654.97618304589,0.0,0,0,0,0.06399642337122982,12024,0,0.0,5,0,ok,[],90802de520b36e165e706a53039ed472457876af802c6e97df3067a809147f5a,a513b7226598a13decacb11a74c87b9d4af43c80efedc379f0f00a027a173ec4,9e1f91c6d10b94ceba8aad02e04308ee13023bbfbc2a48dc715f8f5d6d76e780,r51-free-action-design-only-v1,design_expected_payment,3.5968505999990157,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,passed_observed,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1386,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
2,0.3,up_step,fixed_envelope,r56_seed002__up_step__fixed_envelope,1,1777,991,991,0.5576814856499719,0.5576814856499719,0,0.0,0,0.0,0,571.3735223033203,0.5765625855734816,580.0403392526676,19654.97618304589,8.666816949347321,0,0,0,0.13352607443472134,12024,0,0.0,5,0,ok,[],90802de520b36e165e706a53039ed472457876af802c6e97df3067a809147f5a,a513b7226598a13decacb11a74c87b9d4af43c80efedc379f0f00a027a173ec4,fe51af433945f05a524471880c1205d019f017778bb162ae1ad33acafc0d1e11,r51-free-action-design-only-v1,continuous_envelope_payment_upper_bound,4.615328599997156,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,continuous_box_sufficient_reserve_v1,conditional_on_declared_cost_response_state_bounds_and_known_weighting,passed_observed,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,991,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
2,0.3,up_step,frozen_point,r56_seed002__up_step__frozen_point,1,1777,1386,1386,0.7799662352279122,0.7799662352279122,0,0.0,0,0.0,749,392.60532481837197,0.2832650251214805,387.2460403793064,19654.97618304589,-5.359284439065561,0,245,741,0.07169866844299161,12024,0,0.0,5,0,failed,"[""a_star < a_target on 749 assigned pairs""]",90802de520b36e165e706a53039ed472457876af802c6e97df3067a809147f5a,a513b7226598a13decacb11a74c87b9d4af43c80efedc379f0f00a027a173ec4,9e1f91c6d10b94ceba8aad02e04308ee13023bbfbc2a48dc715f8f5d6d76e780,r51-free-action-design-only-v1,design_expected_payment,3.792323199995735,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,245,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1386,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
3,0.3,down_step,fixed_envelope,r56_seed003__down_step__fixed_envelope,1,1777,942,942,0.530106921778278,0.530106921778278,0,0.0,0,0.0,0,641.3340650596514,0.6808217251164027,691.6213582645019,20034.101311364575,50.28729320485047,0,0,0,0.08500558976828244,12024,0,0.0,5,0,ok,[],9e30bb1915a42740d6aba8d158a366768ad32aed95f204632505af84114dd788,2ef76f0e2878928235f82ebd4f1f4e3e7aa8b4d74d3ac14d8e6834adf0e1504c,831d3708b71b0af43d6738d2e1215504407158707b4bf91b932a037816cd0608,r51-free-action-design-only-v1,continuous_envelope_payment_upper_bound,4.475878499993996,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,continuous_box_sufficient_reserve_v1,conditional_on_declared_cost_response_state_bounds_and_known_weighting,passed_observed,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,942,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
3,0.3,down_step,frozen_point,r56_seed003__down_step__frozen_point,1,1777,1401,1134,0.7884074282498593,0.6381541924592009,267,0.1905781584582441,0,0.0,0,489.5706408131463,0.34944371221495096,516.6927211098914,20034.101311364575,27.122080296745082,0,0,0,0.010848732200476968,12024,0,0.0,5,0,failed,"[""QoS violations: 267""]",9e30bb1915a42740d6aba8d158a366768ad32aed95f204632505af84114dd788,2ef76f0e2878928235f82ebd4f1f4e3e7aa8b4d74d3ac14d8e6834adf0e1504c,fd5885caa649fc6ce000ba535f1074e6a19543dfd1e3285118c6e7f7afca5dbc,r51-free-action-design-only-v1,design_expected_payment,3.558611700005713,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1401,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
3,0.3,stable,fixed_envelope,r56_seed003__stable__fixed_envelope,1,1777,942,942,0.530106921778278,0.530106921778278,0,0.0,0,0.0,0,668.404372859004,0.709558782228242,691.1665918108858,20034.101311364575,22.76221895188189,0,0,0,0.08500558976828244,12024,0,0.0,5,0,ok,[],9e30bb1915a42740d6aba8d158a366768ad32aed95f204632505af84114dd788,2ef76f0e2878928235f82ebd4f1f4e3e7aa8b4d74d3ac14d8e6834adf0e1504c,831d3708b71b0af43d6738d2e1215504407158707b4bf91b932a037816cd0608,r51-free-action-design-only-v1,continuous_envelope_payment_upper_bound,4.486527599998226,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,continuous_box_sufficient_reserve_v1,conditional_on_declared_cost_response_state_bounds_and_known_weighting,passed_observed,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,942,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
3,0.3,stable,frozen_point,r56_seed003__stable__frozen_point,1,1777,1401,1401,0.7884074282498593,0.7884074282498593,0,0.0,0,0.0,0,515.8467866671375,0.3681989911971003,515.8467866671375,20034.101311364575,0.0,0,0,0,0.04384433142909536,12024,0,0.0,5,0,ok,[],9e30bb1915a42740d6aba8d158a366768ad32aed95f204632505af84114dd788,2ef76f0e2878928235f82ebd4f1f4e3e7aa8b4d74d3ac14d8e6834adf0e1504c,fd5885caa649fc6ce000ba535f1074e6a19543dfd1e3285118c6e7f7afca5dbc,r51-free-action-design-only-v1,design_expected_payment,3.601201099998434,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,passed_observed,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1401,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
