dataset,workload,seed,tape_sha256,total_tasks,tasks_with_legal_candidate,comparable_tasks,excluded_lt_two_candidates,excluded_no_legal_candidate,candidate_bids,zero_reserve_bids,min_reserve_bid,max_reserve_bid,pasi_payment,qim_payment,csopt_payment,pasi_pps,qim_pps,csopt_pps,pasi_mean_quality,qim_mean_quality,csopt_mean_quality,qim_csopt_equivalent_slots,evaluated_slots,qim_csopt_max_abs_payment_gap,pasi_ir_violations,qim_ir_violations,csopt_ir_violations,pasi_qos_violations,qim_qos_violations,csopt_qos_violations,elapsed_seconds,pasi_minus_qim_pps,pasi_minus_csopt_pps
GeoLife,high,1,a7dad277f6249479e4e81655153501f477a310182e4f30ce83ad281c3fd751b7,3531,2231,428,1803,1300,939,282,0.0,0.2522802733758286,126.57273939088901,39.489550929256964,39.489550929256964,0.29573069951142295,0.09226530590947889,0.09226530590947889,0.8663266691150312,0.8663266691150312,0.8663266691150312,657,657,1.1102230246251565e-16,0,0,0,0,0,0,6.220321100001456,0.20346539360194404,0.20346539360194404
GeoLife,high,2,a2f11b8194e2ad0e6e493205924e9b55c582565f6e43e45024ff21385c5d73c9,3531,2270,408,1862,1261,892,421,0.0,0.2355483525240929,77.4727000724559,22.246774271136474,22.246774271136474,0.18988406880503894,0.054526407527295276,0.054526407527295276,0.8714403931163073,0.8714403931163073,0.8714403931163073,656,656,5.551115123125783e-17,0,0,0,0,0,0,6.168118500005221,0.13535766127774368,0.13535766127774368
GeoLife,high,3,f0df401a269ae19b66bb4135c7327a2f327f5239734ca19c3cce57c2e9b50bf0,3531,2207,427,1780,1324,950,220,0.0,0.28391229576501104,117.40064393192354,41.08555750960838,41.08555750960837,0.27494296002792395,0.09621910423795874,0.09621910423795871,0.8663747944832291,0.8663747944832291,0.8663747944832291,657,657,1.1102230246251565e-16,0,0,0,0,0,0,6.140243300003931,0.17872385578996522,0.17872385578996525
GeoLife,high,4,a209784a82235461a816c7134ffb660588961d86ce2db6b6b5dee4c542c999ab,3531,2227,414,1813,1304,905,391,0.0,0.2854524429243978,91.30375827619267,30.708526459902373,30.708526459902373,0.2205404789280016,0.07417518468575453,0.07417518468575453,0.8697189584312298,0.8697189584312298,0.8697189584312298,656,656,5.551115123125783e-17,0,0,0,0,0,0,6.205503299992415,0.1463652942422471,0.1463652942422471
GeoLife,high,5,880d598b4041477fb97c4b682aa83f1bcd8673d4970b00a1fae8626ede790f06,3531,2246,433,1813,1285,948,433,0.0,0.2849723543696273,92.05437833437207,30.354535473545425,30.354535473545425,0.21259671670755675,0.07010285328763377,0.07010285328763377,0.8657407693062625,0.8657407693062625,0.8657407693062625,655,655,5.551115123125783e-17,0,0,0,0,0,0,6.356459899994661,0.14249386341992298,0.14249386341992298
GeoLife,high,6,c19e86ac89e64eaa18f54dfcccda1060c5f51265423343ee4ce8a9f4a0c13789,3531,2261,414,1847,1270,908,399,0.0,0.2439992234805626,82.47559372983892,23.76886258183778,23.76886258183778,0.19921640997545634,0.057412711550332805,0.057412711550332805,0.8683844778761728,0.8683844778761728,0.8683844778761728,657,657,1.1102230246251565e-16,0,0,0,0,0,0,5.958568200003356,0.14180369842512353,0.14180369842512353
GeoLife,high,7,2f8043f70983d38448c547cf34a201c3bd656f04fac23d254d30d4e308a1fc2d,3531,2223,433,1790,1308,939,442,0.0,0.23707954752700594,80.6584444237367,20.507294562786633,20.507294562786633,0.18627816264142424,0.04736095741983056,0.04736095741983056,0.865866208900624,0.8658662089006239,0.865866208900624,656,656,5.551115123125783e-17,0,0,0,0,0,0,5.971729900003993,0.13891720522159368,0.13891720522159368
GeoLife,high,8,b37b79c46500ef06f4162091d6996dfb3f4c5ff5eead317d150afcb098b4d34d,3531,2271,428,1843,1260,936,441,0.0,0.2488294670020185,88.71437879751457,25.879429670767106,25.879429670767106,0.20727658597550133,0.0604659571746895,0.0604659571746895,0.8708005638923975,0.8708005638923975,0.8708005638923975,658,658,1.1102230246251565e-16,0,0,0,0,0,0,5.96023630000127,0.14681062880081183,0.14681062880081183
GeoLife,high,9,97db528a3bee8345de14e853f62b038534949ca6be6c71bf7c58bcbda17dddbc,3531,2235,439,1796,1296,967,377,0.0,0.27944760533420815,128.23925491989334,33.155202682615396,33.155202682615396,0.29211675380385727,0.07552437968705102,0.07552437968705102,0.8673182335948684,0.8673182335948684,0.8673182335948684,658,658,1.1102230246251565e-16,0,0,0,0,0,0,6.183614800000214,0.21659237411680626,0.21659237411680626
GeoLife,high,10,70541e93ef4f61448095ce630f8a78f297f4d307b8e4d7d2ff3a4ab6e6e6b4d1,3531,2252,410,1842,1279,894,283,0.0,0.2375296590568042,94.8357307840212,29.624390005385408,29.624390005385408,0.2313066604488322,0.0722546097692327,0.0722546097692327,0.8648176670814461,0.8648176670814461,0.8648176670814461,655,655,1.1102230246251565e-16,0,0,0,0,0,0,5.891023299991502,0.1590520506795995,0.1590520506795995
