seed,half_width,scenario,profile,run_id,n_episodes,tasks,assigned,qualified,coverage,qualified_coverage,qos_violations,qos_violation_rate,ir_violations,ir_violation_rate,target_violations,payment,pps,reserved_budget,available_budget,reservation_minus_settlement,slots_reservation_exceeds_budget,slots_settlement_exceeds_reservation,selected_contracts_settlement_exceeds_reserve,min_selected_objective_utility,information_checks,information_mismatches,max_decision_cost_drift,certificate_slots,certificate_failures,run_status,diagnostic_issues,event_tape_hash,spatial_graph_sha256,config_sha256,contract_protocol_version,decision_cost_basis,runtime_seconds,evaluation_protocol_version,settlement_cost_basis,robust_ir_policy,guarantee_scope,service_outcome_status,execution_status,settlement_over_reservation_slots,settlement_over_available_budget_slots,reservation_over_available_budget_slots,population_risk_certified,core_sha256,runner_sha256,contract_D_bar,matching_budget_ratio,design_physical_ceiling,design_ceiling_residual,slots_above_design_ceiling,slots_below_design_ceiling,ceiling_scope
2,0.3,down_step,frozen_point,r56_seed002__down_step__frozen_point,1,1777,1386,1152,0.7799662352279122,0.6482836240855374,234,0.1688311688311688,0,0.0,0,369.4735388196183,0.2665754248337794,388.827980084802,19654.97618304589,19.35444126518371,0,0,0,0.0199195029015019,12024,0,0.0,5,0,failed,"[""QoS violations: 234""]",90802de520b36e165e706a53039ed472457876af802c6e97df3067a809147f5a,a513b7226598a13decacb11a74c87b9d4af43c80efedc379f0f00a027a173ec4,9e1f91c6d10b94ceba8aad02e04308ee13023bbfbc2a48dc715f8f5d6d76e780,r51-free-action-design-only-v1,design_expected_payment,3.575495299999602,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1386,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
2,0.3,up_step,frozen_point,r56_seed002__up_step__frozen_point,1,1777,1386,1386,0.7799662352279122,0.7799662352279122,0,0.0,0,0.0,749,392.605324818372,0.2832650251214805,387.2460403793064,19654.97618304589,-5.359284439065561,0,245,741,0.0716986684429916,12024,0,0.0,5,0,failed,"[""a_star < a_target on 749 assigned pairs""]",90802de520b36e165e706a53039ed472457876af802c6e97df3067a809147f5a,a513b7226598a13decacb11a74c87b9d4af43c80efedc379f0f00a027a173ec4,9e1f91c6d10b94ceba8aad02e04308ee13023bbfbc2a48dc715f8f5d6d76e780,r51-free-action-design-only-v1,design_expected_payment,3.792323199995735,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,245,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1386,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
3,0.3,down_step,frozen_point,r56_seed003__down_step__frozen_point,1,1777,1401,1134,0.7884074282498593,0.6381541924592009,267,0.1905781584582441,0,0.0,0,489.5706408131463,0.3494437122149509,516.6927211098914,20034.10131136457,27.12208029674508,0,0,0,0.0108487322004769,12024,0,0.0,5,0,failed,"[""QoS violations: 267""]",9e30bb1915a42740d6aba8d158a366768ad32aed95f204632505af84114dd788,2ef76f0e2878928235f82ebd4f1f4e3e7aa8b4d74d3ac14d8e6834adf0e1504c,fd5885caa649fc6ce000ba535f1074e6a19543dfd1e3285118c6e7f7afca5dbc,r51-free-action-design-only-v1,design_expected_payment,3.558611700005713,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1401,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
3,0.3,up_step,frozen_point,r56_seed003__up_step__frozen_point,1,1777,1401,1401,0.7884074282498593,0.7884074282498593,0,0.0,0,0.0,757,523.3929925974683,0.3735852909332393,515.6109594588187,20034.10131136457,-7.782033138649581,0,247,757,0.0438443314290953,12024,0,0.0,5,0,failed,"[""a_star < a_target on 757 assigned pairs""]",9e30bb1915a42740d6aba8d158a366768ad32aed95f204632505af84114dd788,2ef76f0e2878928235f82ebd4f1f4e3e7aa8b4d74d3ac14d8e6834adf0e1504c,fd5885caa649fc6ce000ba535f1074e6a19543dfd1e3285118c6e7f7afca5dbc,r51-free-action-design-only-v1,design_expected_payment,3.5860685000006924,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,247,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1401,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
4,0.3,down_step,frozen_point,r56_seed004__down_step__frozen_point,1,1777,1396,1118,0.7855936972425436,0.6291502532357907,278,0.1991404011461318,0,0.0,0,438.92513134362446,0.3144162831974387,463.11405760568704,19907.815140617487,24.18892626206258,0,0,0,0.0422152575075588,12024,0,0.0,5,0,failed,"[""QoS violations: 278""]",cc954a3eddc362e219bff09482aad8956994d1d4ce6569ab64d04a56a694dc5e,5584dc2575e2faec9b16d19da9927c40c173a22638de5482981e3d6b7d826e4c,0a62dcec0ca9dca375f6d0e5346b72e8e1faa1c25b2d6f4de9e2dfa78d90c04c,r51-free-action-design-only-v1,design_expected_payment,3.67531240000244,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1396,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
4,0.3,up_step,frozen_point,r56_seed004__up_step__frozen_point,1,1777,1396,1396,0.7855936972425436,0.7855936972425436,0,0.0,0,0.0,753,468.6871115082741,0.3357357532294227,461.6885326502184,19907.815140617487,-6.998578858055737,0,249,753,0.0553703959582551,12024,0,0.0,5,0,failed,"[""a_star < a_target on 753 assigned pairs""]",cc954a3eddc362e219bff09482aad8956994d1d4ce6569ab64d04a56a694dc5e,5584dc2575e2faec9b16d19da9927c40c173a22638de5482981e3d6b7d826e4c,0a62dcec0ca9dca375f6d0e5346b72e8e1faa1c25b2d6f4de9e2dfa78d90c04c,r51-free-action-design-only-v1,design_expected_payment,3.765870299997914,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,249,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1396,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
5,0.3,down_step,frozen_point,r56_seed005__down_step__frozen_point,1,1777,1381,1129,0.7771525042205966,0.6353404614518852,252,0.1824764663287472,0,0.0,0,385.8129594837005,0.2793721647238961,407.1483186071397,19867.953093204364,21.33535912343916,0,0,0,0.0103651334409997,12024,0,0.0,5,0,failed,"[""QoS violations: 252""]",ae23732358fc058cfb8ea2f83623d8c6cde66ca014fdb50179407e460485e8d8,2be13b58ab47158c630b7ca5bc8f84b9032f2f2217dc77db6feb42af5b584400,3a7b95d0603c6afb7ec26663f123174688d3eb3c4947c30882490977347c4ee5,r51-free-action-design-only-v1,design_expected_payment,3.583129899998312,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1381,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
5,0.3,up_step,frozen_point,r56_seed005__up_step__frozen_point,1,1777,1381,1381,0.7771525042205966,0.7771525042205966,0,0.0,0,0.0,750,411.61725925092514,0.2980573926509233,405.5199814003065,19867.953093204364,-6.097277850618639,0,247,745,0.0634206259032147,12024,0,0.0,5,0,failed,"[""a_star < a_target on 750 assigned pairs""]",ae23732358fc058cfb8ea2f83623d8c6cde66ca014fdb50179407e460485e8d8,2be13b58ab47158c630b7ca5bc8f84b9032f2f2217dc77db6feb42af5b584400,3a7b95d0603c6afb7ec26663f123174688d3eb3c4947c30882490977347c4ee5,r51-free-action-design-only-v1,design_expected_payment,3.589328600006411,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,247,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1381,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
6,0.3,down_step,frozen_point,r56_seed006__down_step__frozen_point,1,1777,1359,1103,0.7647720877884074,0.6207090602138435,256,0.188373804267844,0,0.0,0,356.138102250935,0.2620589420536681,374.2692749694734,20013.03466186832,18.13117271853838,0,0,0,0.0349024195140668,12024,0,0.0,5,0,failed,"[""QoS violations: 256""]",d017109f2a2fbc3999f337ed3a530a854f4d1de964d874aa05377ec96b0e50d9,b65f3f141006be4b4b7a3e45f957eb2caf3f88998b4816f2392b5e01b0f7d351,d2ce617bb66510bbc9ac76a0837c82d3b8de2e82d40fdb633659303db050a5ac,r51-free-action-design-only-v1,design_expected_payment,3.5867063000041526,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1359,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
6,0.3,up_step,frozen_point,r56_seed006__up_step__frozen_point,1,1777,1359,1359,0.7647720877884074,0.7647720877884074,0,0.0,0,0.0,736,377.6034271685333,0.2778538831262202,372.4168773061599,20013.03466186832,-5.186549862373454,0,248,735,0.053658143227053,12024,0,0.0,5,0,failed,"[""a_star < a_target on 736 assigned pairs""]",d017109f2a2fbc3999f337ed3a530a854f4d1de964d874aa05377ec96b0e50d9,b65f3f141006be4b4b7a3e45f957eb2caf3f88998b4816f2392b5e01b0f7d351,d2ce617bb66510bbc9ac76a0837c82d3b8de2e82d40fdb633659303db050a5ac,r51-free-action-design-only-v1,design_expected_payment,3.5747607000012067,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,248,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1359,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
7,0.3,down_step,frozen_point,r56_seed007__down_step__frozen_point,1,1777,1392,1118,0.7833427124366911,0.6291502532357907,274,0.1968390804597701,0,0.0,0,345.1864981688917,0.247978806155813,364.0195396302925,20200.78604537598,18.8330414614008,0,0,0,0.0253771479839408,12024,0,0.0,5,0,failed,"[""QoS violations: 274""]",2e55135ca6ae0d7bd11732a2a734554c836a2fd75ce45d65f81b721aed675e8a,fd3693c8145f3d4f5c36750ba85a5a5f74212f8157336bb8c462657206616c15,e7ee3763c9da6a638d44b863ef2814e9138d7ec801f3dc34eac47027c8a94ab1,r51-free-action-design-only-v1,design_expected_payment,3.6952926000012662,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1392,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
7,0.3,up_step,frozen_point,r56_seed007__up_step__frozen_point,1,1777,1392,1392,0.7833427124366911,0.7833427124366911,0,0.0,0,0.0,757,368.10334309240966,0.2644420568192598,362.5911084203667,20200.78604537598,-5.512234672042951,0,246,756,0.0414620257896698,12024,0,0.0,5,0,failed,"[""a_star < a_target on 757 assigned pairs""]",2e55135ca6ae0d7bd11732a2a734554c836a2fd75ce45d65f81b721aed675e8a,fd3693c8145f3d4f5c36750ba85a5a5f74212f8157336bb8c462657206616c15,e7ee3763c9da6a638d44b863ef2814e9138d7ec801f3dc34eac47027c8a94ab1,r51-free-action-design-only-v1,design_expected_payment,3.5820996000038576,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,246,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1392,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
8,0.3,down_step,frozen_point,r56_seed008__down_step__frozen_point,1,1777,1422,1149,0.8002250984805852,0.646595385481148,273,0.1919831223628691,0,0.0,0,420.792410753898,0.2959159006708143,442.16649019547737,19827.53401393431,21.3740794415794,0,0,0,0.0468208856351213,12024,0,0.0,5,0,failed,"[""QoS violations: 273""]",bf745d70be996a978398c60fd1cde71e6c61ad177efbd9c9eddf34300e8002c4,066f4c0ae96132169fb2bbcf63fd10252ccb54a6f486c27d5a8d0ed49edb20ab,6b7acfbb6b2ef2b89b4c55d109cb09dea89aef8f70ac4dcda3c0d260eb14d4c0,r51-free-action-design-only-v1,design_expected_payment,3.588043600000674,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,0,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1422,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
8,0.3,up_step,frozen_point,r56_seed008__up_step__frozen_point,1,1777,1422,1422,0.8002250984805852,0.8002250984805852,0,0.0,0,0.0,776,446.3602724960269,0.3138961128664043,440.21194380862585,19827.53401393431,-6.148328687401033,0,249,772,0.0581401990132909,12024,0,0.0,5,0,failed,"[""a_star < a_target on 776 assigned pairs""]",bf745d70be996a978398c60fd1cde71e6c61ad177efbd9c9eddf34300e8002c4,066f4c0ae96132169fb2bbcf63fd10252ccb54a6f486c27d5a8d0ed49edb20ab,6b7acfbb6b2ef2b89b4c55d109cb09dea89aef8f70ac4dcda3c0d260eb14d4c0,r51-free-action-design-only-v1,design_expected_payment,3.858232500002487,r53-service-outcomes-v1,objective_expected_payment_at_executed_response,design_response_ir,nominal_model_only_no_current_response_robust_guarantee,violated,completed,249,0,0,False,ffa937f3a51565ce6ef916575ae3965b1ddc3a7501d45745ff113b51cb363fe5,d1acf522a0b674e4d35c5387b40bdfcef2c5618311aada2f72c24673c687c00f,50.0,3.5,1422,0,0,0,design physical graph; nominal bound is not a guarantee at perturbed true response
