scenario,seed,final_design_pps_saving_pct,T50,T90
burst,1,16.244368051730053,23,159
burst,2,14.479876687432903,26,146
burst,3,19.093925346903763,25,157
burst,4,17.922757041031325,21,128
burst,5,17.640128350369633,24,149
burst,6,16.788825845608844,22,144
burst,7,16.078137467146103,22,144
burst,8,15.1122466524513,21,146
burst,9,16.27539739494891,25,148
burst,10,16.015010960641053,29,156
burst,11,16.587345758108974,27,171
burst,12,17.741174529666292,27,154
burst,13,16.521108787381035,26,160
burst,14,13.683705033745053,25,139
burst,15,14.794265840160515,24,153
burst,16,16.696462347820784,23,153
burst,17,15.93439971760493,25,159
burst,18,14.766777234998319,25,139
burst,19,15.947997688228966,26,154
burst,20,16.44421649399771,27,169
burst,21,16.330496700165764,26,145
burst,22,14.479397102767411,19,140
burst,23,15.273019927799314,21,134
burst,24,16.93521447291708,24,154
burst,25,17.3560293603367,23,138
burst,26,16.394450504805867,27,145
burst,27,15.873687533881952,23,156
burst,28,15.493944247662872,28,170
burst,29,17.789899013853905,21,145
burst,30,16.222087070904912,24,144
dynamic,1,15.169040360777707,22,173
dynamic,2,13.315927607852263,21,186
dynamic,3,18.02273618141851,19,168
dynamic,4,16.982098803277378,17,177
dynamic,5,16.697940971359714,20,180
dynamic,6,15.582996096127644,21,188
dynamic,7,14.931039845529181,17,171
dynamic,8,14.130355095304248,20,188
dynamic,9,15.003625141531574,18,165
dynamic,10,14.846728178003987,20,172
dynamic,11,15.517731740751072,21,174
dynamic,12,16.349710626390756,21,182
dynamic,13,14.998475715361792,20,174
dynamic,14,12.49973555717262,18,184
dynamic,15,13.800956477647375,22,193
dynamic,16,15.603662105933847,17,146
dynamic,17,14.644047265596882,19,174
dynamic,18,13.573009989609474,20,178
dynamic,19,15.005383968442143,21,183
dynamic,20,15.281512706377642,16,180
dynamic,21,15.136123931267187,19,178
dynamic,22,13.685428804895905,22,178
dynamic,23,13.985377026384228,19,163
dynamic,24,15.999103093460821,19,169
dynamic,25,16.32818559185223,19,170
dynamic,26,14.995617226661206,19,174
dynamic,27,14.807797999205107,19,184
dynamic,28,14.293877787139497,21,187
dynamic,29,16.75501846818196,20,183
dynamic,30,14.716704707454442,19,184
stationary,1,14.647222759263345,19,132
stationary,2,12.68129944136398,20,138
stationary,3,17.302453115327566,22,147
stationary,4,16.405067458623545,19,120
stationary,5,16.292151143336064,20,115
stationary,6,14.911310492328134,22,134
stationary,7,14.376175707326155,20,125
stationary,8,14.137513587104511,21,133
stationary,9,14.352272095831475,19,110
stationary,10,13.923535203392035,22,131
stationary,11,14.597678819371595,21,119
stationary,12,15.660609501532786,18,124
stationary,13,14.418339038454608,23,130
stationary,14,12.057220365100685,17,107
stationary,15,13.410501528486174,20,115
stationary,16,15.22167413517046,18,119
stationary,17,14.108072024909424,19,120
stationary,18,12.966768457736455,19,123
stationary,19,13.813331212518687,23,146
stationary,20,14.573181727196694,20,127
stationary,21,14.188624005533645,20,122
stationary,22,13.567300200238508,22,127
stationary,23,13.741517999841657,19,112
stationary,24,15.164729348187523,20,115
stationary,25,15.768976619497078,18,111
stationary,26,14.342313189351986,23,134
stationary,27,14.472181895261581,19,117
stationary,28,13.567063738267649,20,99
stationary,29,16.428105249731097,19,121
stationary,30,13.98428840370024,19,112
