scenario,seed,phase,design_reserve_MOI,design_reserve_PASI,execution_settlement_MOI,execution_settlement_PASI,assigned_MOI,assigned_PASI,tasks_MOI,tasks_PASI,coverage_MOI,coverage_PASI,mean_selected_H_MOI,mean_selected_H_PASI,mean_selected_lambda_MOI,mean_selected_lambda_PASI,design_reserve_saving_pct,execution_settlement_saving_pct,coverage_diff_pp
burst,1,Early,3344.152692400803,2888.039674015143,3345.5981365427147,2888.039674015143,5560.0,5560.0,6880.0,6880.0,0.8081395348837209,0.8081395348837209,0.8004955319103447,0.8018718391868556,0.9789166288560219,0.8694556299342623,13.63912058866581,13.67643225077847,0.0
burst,1,Late,9382.701340023094,7812.455818663733,9387.691922140792,7812.455818663733,16302.0,16302.0,20640.0,20640.0,0.7898255813953489,0.7898255813953489,0.9731490368103539,0.9729397591037507,0.9517844151150845,0.8189695437699419,16.73553771408326,16.77980185695993,0.0
burst,1,Middle,6499.319973600514,5433.408933273289,6502.671478816201,5433.408933273289,10976.0,10976.0,13760.0,13760.0,0.7976744186046512,0.7976744186046512,0.9724346271745223,0.9723135695597451,0.967800788654187,0.836647403390247,16.400347184887522,16.44343481023539,0.0
burst,2,Early,3199.146076916383,2800.6249601851596,3200.16447144146,2800.6249601851596,5455.0,5455.0,6880.0,6880.0,0.7928779069767442,0.7928779069767442,0.7933673709122981,0.7954817370025156,0.8965504174434451,0.8018315812331407,12.457109089415297,12.484968032794097,0.0
burst,2,Late,9899.966620981511,8454.29469529485,9903.956871624398,8454.29469529485,16535.0,16535.0,20640.0,20640.0,0.8011143410852714,0.8011143410852714,0.9734876031350306,0.9738352983711418,0.9083731392242268,0.7953216429554901,14.602795959157822,14.637202030664554,0.0
burst,2,Middle,6521.851998732094,5567.381890112871,6524.486942314294,5567.381890112871,10960.0,10960.0,13760.0,13760.0,0.7965116279069767,0.7965116279069767,0.9729408874996518,0.9732982374810578,0.9062496475984958,0.7932701640581783,14.634955052717856,14.66943011249141,0.0
burst,3,Early,3060.9472398984303,2562.2896581772034,3062.1683342980464,2562.2896581772034,5533.0,5533.0,6880.0,6880.0,0.8042151162790697,0.8042151162790697,0.8032037086069372,0.8046689059272579,0.9539696653521,0.8283278564662117,16.290956447121697,16.324336925632544,0.0
burst,3,Late,9103.15192949667,7348.987028319312,9107.552154625777,7348.987028319312,16559.0,16559.0,20640.0,20640.0,0.8022771317829457,0.8022771317829457,0.9754033017844099,0.9750033721062585,0.9493636153222207,0.7995725906421535,19.269862952560302,19.308866932079873,0.0
burst,3,Middle,5881.6162781813655,4736.518569663619,5884.560468539999,4736.518569663619,10899.0,10899.0,13760.0,13760.0,0.792078488372093,0.792078488372093,0.9747533083516591,0.9744795480231226,0.9414038925003302,0.7915300855623779,19.46909921284117,19.509390803510897,0.0
burst,4,Early,2960.4507029819315,2492.911022394729,2961.696615737145,2492.911022394729,5442.0,5442.0,6880.0,6880.0,0.7909883720930233,0.7909883720930233,0.8035691827816743,0.8040348368901825,0.9113127869997754,0.7948532618272757,15.792854787829103,15.828278657965733,0.0
burst,4,Late,9453.52750547626,7733.8272651518255,9458.826240965798,7733.8272651518255,16377.0,16377.0,20640.0,20640.0,0.7934593023255814,0.7934593023255814,0.9752040419763811,0.9743389360993528,0.9469543286415857,0.807784764740772,18.1910957505359,18.236924242704355,0.0
burst,4,Middle,6517.80587186768,5349.476782240599,6521.2950359641745,5349.476782240599,11122.0,11122.0,13760.0,13760.0,0.8082848837209302,0.8082848837209302,0.974775064796843,0.9737780281349551,0.956847223932078,0.8186123213084466,17.925190050072725,17.969103487284897,0.0
burst,5,Early,2724.9353740798597,2316.632234669757,2725.865815452888,2316.632234669757,5410.0,5410.0,6880.0,6880.0,0.7863372093023255,0.7863372093023255,0.801191875329827,0.8013839750678713,0.8874834274065461,0.7732173306622983,14.983956804772891,15.012976004291644,0.0
