scenario,method,seed,phase,slot_start,slot_end,mean_selected_H,median_selected_H,mean_selected_lambda,design_reserve,execution_settlement,assigned,tasks,coverage
stationary,PASI,2,Early,1,100,0.8265005472085032,0.9238589434523204,0.9087940085079769,4239.342534957825,4239.342534957825,6798,8000,0.84975
stationary,PASI,2,Middle,301,500,0.9730503330713558,0.983390308410079,0.8727055260892486,7985.084711542706,7985.084711542706,13476,16000,0.84225
stationary,PASI,2,Late,701,1000,0.973700674890687,0.9839268515974431,0.8893753936470913,12363.85141593443,12363.85141593443,20286,24000,0.84525
stationary,MOI,1,Early,1,100,0.8285137194967881,0.9298267755519437,1.0485897123467856,4702.906087107014,4704.942190658817,6830,8000,0.85375
stationary,MOI,1,Middle,301,500,0.9731903587975039,0.9806243339879022,1.0580823807608717,9449.172419463133,9453.969946209756,13561,16000,0.8475625
stationary,MOI,1,Late,701,1000,0.9739822185223782,0.979963769823172,1.0479938564352622,14045.298364119928,14052.154383582358,20355,24000,0.848125
stationary,MOI,2,Early,1,100,0.8264841923973756,0.924951680527066,0.9984272173263566,4758.738818467903,4760.419852149438,6798,8000,0.84975
stationary,MOI,2,Middle,301,500,0.9739578355115791,0.9812776050620566,0.9785498208484286,9182.473232717817,9186.096358599663,13476,16000,0.84225
stationary,MOI,2,Late,701,1000,0.9745926537387513,0.9812107745903635,0.994169155428277,14173.628329615265,14179.324748265097,20286,24000,0.84525
stationary,PASI,1,Early,1,100,0.8295267791730894,0.9283929664035573,0.9434013142962188,4107.3047025760525,4107.3047025760525,6830,8000,0.85375
stationary,PASI,1,Middle,301,500,0.9731475878023775,0.983184421700795,0.934586652963085,8052.553416874062,8052.553416874062,13561,16000,0.8475625
stationary,PASI,1,Late,701,1000,0.9738445032438955,0.9830868752005494,0.9249600823746085,11967.002788747935,11967.002788747935,20355,24000,0.848125
stationary,PASI,3,Early,1,100,0.8289741777221737,0.9267027127866072,0.9164625582782867,3736.9554001774254,3736.9554001774254,6760,8000,0.845
stationary,PASI,3,Middle,301,500,0.9756757012015744,0.9844248966101045,0.8912871356034523,7182.636727596085,7182.636727596085,13585,16000,0.8490625
stationary,PASI,3,Late,701,1000,0.9755860751166856,0.9846526599338402,0.8878200881378491,10664.781023063773,10664.781023063773,20347,24000,0.8477916666666667
stationary,MOI,4,Early,1,100,0.8315165245912262,0.9329242025230936,1.0254128478768558,4561.070514068719,4563.251663366951,6799,8000,0.849875
stationary,MOI,4,Middle,301,500,0.9750535572160789,0.9811980408206606,1.0288525965890012,9166.058153563863,9171.302699499636,13579,16000,0.8486875
stationary,MOI,4,Late,701,1000,0.9759350281374417,0.9812247216549316,1.0451918291243079,13956.22217860433,13964.042892806894,20277,24000,0.844875
stationary,MOI,3,Early,1,100,0.8283901151188204,0.9267408771907143,1.0339543878969544,4385.112866075643,4386.917037910103,6760,8000,0.845
stationary,MOI,3,Middle,301,500,0.9755783370236639,0.982946652750282,1.0313220989319487,8709.536166060603,8713.634378819208,13585,16000,0.8490625
stationary,MOI,3,Late,701,1000,0.9755443003943671,0.982942357818117,1.0279049543979855,12944.397559369088,12950.496683395962,20347,24000,0.8477916666666667
stationary,PASI,4,Early,1,100,0.830322523813084,0.9287480923302495,0.9125824951168455,3904.803040564659,3904.803040564659,6799,8000,0.849875
stationary,PASI,4,Middle,301,500,0.9740604563251292,0.9827582160904285,0.8966043947626384,7639.531106629708,7639.531106629708,13579,16000,0.8486875
stationary,PASI,4,Late,701,1000,0.9750193966595887,0.9829844914299576,0.9120464594628893,11644.537980055995,11644.537980055995,20277,24000,0.844875
stationary,MOI,6,Early,1,100,0.8321158940323228,0.9299307271250827,1.0058953448782875,4618.769976573953,4620.741727451767,6796,8000,0.8495
stationary,MOI,6,Middle,301,500,0.9738686211787781,0.979100317261113,0.9930287794016105,9066.564979932387,9070.85009041326,13609,16000,0.8505625
stationary,MOI,6,Late,701,1000,0.9746065395730978,0.97875811574249,0.9974929863995533,13561.5828363271,13568.15785697443,20244,24000,0.8435
stationary,PASI,6,Early,1,100,0.8318528404866105,0.9306691257602784,0.9030585623896314,4025.7014320720773,4025.7014320720773,6796,8000,0.8495
stationary,PASI,6,Middle,301,500,0.9722692872601361,0.9835648316012016,0.8730528510367265,7693.669080483721,7693.669080483721,13609,16000,0.8505625
stationary,PASI,6,Late,701,1000,0.9730762183541635,0.9827278519167699,0.8770238151253223,11514.120327020217,11514.120327020217,20244,24000,0.8435
stationary,PASI,5,Early,1,100,0.8323737145830253,0.9313407006336051,0.8627753578402814,3328.7489626495635,3328.7489626495635,6661,8000,0.832625
stationary,PASI,5,Middle,301,500,0.9747711796186107,0.984083614028311,0.843344895268933,6638.919923766552,6638.919923766552,13557,16000,0.8473125
stationary,PASI,5,Late,701,1000,0.9753350316919536,0.9843811578912023,0.8507906492681954,10052.612500912548,10052.612500912548,20301,24000,0.845875
