workload,seed,method,N,M,tasks,assigned,qualified,payment,pps,service_coverage,mean_quality,qos_violations,qos_violation_rate,ir_violations,under_incentive_rate,target_violations,target_miss_rate,legal_edge_rate,platform_utility,mean_base_payment,negative_intercept_rate,core_runtime_s,instrumented_runtime_s,event_tape_hash,diagnostic_status,execution_status,decision_cost_basis,contract_protocol_version,design_reserve,available_budget,reserve_over_budget_slots,settlement_over_reserve_slots,settlement_over_budget_slots,candidate_rows,legal_rows,candidate_graph_sha256,config_sha256
high,1,MOI,34,4,3531,2516,2516,1035.179596418682,0.4114386313269801,0.712546020957236,0.8654501319206863,0,0.0,0,0.0,0,0.0,0.2663857677902622,5591.871317850438,0.0,0.0,3.6324972000002163,3.7630654999993567,16b210ab5de19259937049a5995c23055e404d735543a977cf42479798ad80cb,ok,completed,design_expected_payment,r51-free-action-design-only-v1,1035.179596418682,7976.68985049328,0,0,0,23496,6259,e60a9613cc052e89d5f54455389db3597a9004f2d0eaa3214d6c414d8926d44a,801fb7691d3e034dfd71f7e44c1e75cbc81a9985776e809f4c56a428649640e5
high,1,PASI,34,4,3531,2516,2516,922.749151261689,0.36675244485758707,0.712546020957236,0.8658364813405101,0,0.0,0,0.0,0,0.0,0.2663857677902622,5696.802710395769,0.0,0.0,3.6558456999991904,3.7603856999994605,16b210ab5de19259937049a5995c23055e404d735543a977cf42479798ad80cb,ok,completed,design_expected_payment,r51-free-action-design-only-v1,922.749151261689,7976.68985049328,0,0,0,23496,6259,e60a9613cc052e89d5f54455389db3597a9004f2d0eaa3214d6c414d8926d44a,801fb7691d3e034dfd71f7e44c1e75cbc81a9985776e809f4c56a428649640e5
high,1,QUAC-F,34,4,3531,2516,2516,246.1868331187991,0.0978485028294114,0.712546020957236,0.8733080690034976,0,0.0,0,0.0,0,0.0,0.2663857677902622,6261.088661699871,-0.47447294514927135,1.0,3.626684099999693,3.741557700002886,16b210ab5de19259937049a5995c23055e404d735543a977cf42479798ad80cb,ok,completed,design_expected_payment,r51-free-action-design-only-v1,246.1868331187991,7976.68985049328,0,0,0,23496,6259,e60a9613cc052e89d5f54455389db3597a9004f2d0eaa3214d6c414d8926d44a,801fb7691d3e034dfd71f7e44c1e75cbc81a9985776e809f4c56a428649640e5
high,2,MOI,34,4,3531,2511,2511,834.4192074643008,0.33230553861581075,0.7111299915038233,0.8667054356217851,0,0.0,0,0.0,0,0.0,0.2591079332652366,5734.803910286867,0.0,0.0,3.7674977999995463,3.8812179999986256,c556b8d478ddd855d432d0cf3d629e4c55372b27abeb3e5983c9258252d346fe,ok,completed,design_expected_payment,r51-free-action-design-only-v1,834.4192074643008,7937.011670474265,0,0,0,23496,6088,ec6fb6e3e70e4e4cfaf432beb8c8e81197411dc276b4156fadadf46c4149536b,38527d21d874ca254d011b0561edc12bb4ed2ab978bbe4b074577aecc8ba057a
high,2,PASI,34,4,3531,2511,2511,701.6603484264806,0.2794346270117406,0.7111299915038233,0.8668523288857609,0,0.0,0,0.0,0,0.0,0.2591079332652366,5862.986464233199,0.0,0.0,3.7185678999994707,3.848374099998182,c556b8d478ddd855d432d0cf3d629e4c55372b27abeb3e5983c9258252d346fe,ok,completed,design_expected_payment,r51-free-action-design-only-v1,701.6603484264806,7937.011670474265,0,0,0,23496,6088,ec6fb6e3e70e4e4cfaf432beb8c8e81197411dc276b4156fadadf46c4149536b,38527d21d874ca254d011b0561edc12bb4ed2ab978bbe4b074577aecc8ba057a
high,2,QUAC-F,34,4,3531,2511,2511,215.90151393068527,0.08598228352476514,0.7111299915038233,0.8746379364720177,0,0.0,0,0.0,0,0.0,0.2591079332652366,6246.605244675549,-0.41086693458803747,1.0,3.592328599999746,3.707193799997185,c556b8d478ddd855d432d0cf3d629e4c55372b27abeb3e5983c9258252d346fe,ok,completed,design_expected_payment,r51-free-action-design-only-v1,215.90151393068527,7937.011670474265,0,0,0,23496,6088,ec6fb6e3e70e4e4cfaf432beb8c8e81197411dc276b4156fadadf46c4149536b,38527d21d874ca254d011b0561edc12bb4ed2ab978bbe4b074577aecc8ba057a
high,3,MOI,34,4,3531,2478,2478,980.7880597542168,0.39579824848838446,0.7017841971112999,0.8671713098851018,0,0.0,0,0.0,0,0.0,0.26021450459652706,5528.733351095274,0.0,0.0,3.680651900001976,3.798595000000205,50f61c2d7c7e6980858af791ea879289ab0a3f6b1a06aad7f0fac9cd3a9f945b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,980.7880597542168,7963.836384993796,0,0,0,23496,6114,c44b94beec3a0f3f02bc5e6fa6cd1528e66f2f4dc81fc3d375d0a2fa4a82c358,6ef41724d402a990ee0310cfba0102463f48d628669651a020afa9508c308ee5
high,3,PASI,34,4,3531,2478,2478,910.7707067513771,0.36754265809175835,0.7017841971112999,0.8674291169374562,0,0.0,0,0.0,0,0.0,0.26021450459652706,5592.628978854979,0.0,0.0,3.779593399998703,3.9066906000007293,50f61c2d7c7e6980858af791ea879289ab0a3f6b1a06aad7f0fac9cd3a9f945b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,910.7707067513771,7963.836384993796,0,0,0,23496,6114,c44b94beec3a0f3f02bc5e6fa6cd1528e66f2f4dc81fc3d375d0a2fa4a82c358,6ef41724d402a990ee0310cfba0102463f48d628669651a020afa9508c308ee5
high,3,QUAC-F,34,4,3531,2478,2478,227.30341788443684,0.09172857864585829,0.7017841971112999,0.8763998836870913,0,0.0,0,0.0,0,0.0,0.26021450459652706,6170.402321340251,-0.43160972724879876,1.0,3.643381900001259,3.814075700000103,50f61c2d7c7e6980858af791ea879289ab0a3f6b1a06aad7f0fac9cd3a9f945b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,227.30341788443684,7963.836384993796,0,0,0,23496,6114,c44b94beec3a0f3f02bc5e6fa6cd1528e66f2f4dc81fc3d375d0a2fa4a82c358,6ef41724d402a990ee0310cfba0102463f48d628669651a020afa9508c308ee5
high,4,MOI,34,4,3531,2484,2484,958.5392000800186,0.38588534624799464,0.703483432455395,0.8666108377047294,0,0.0,0,0.0,0,0.0,0.26549199863806605,5569.272389368434,0.0,0.0,3.6416200999992725,3.8350934000009147,0b75b443e42a22cffa099383d7c342f7cfa4b0d5a3164b61541134438bb2477b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,958.5392000800186,7970.477557413017,0,0,0,23496,6238,b3523e2089dbd7a32da94bd9af1457f53f613cc29afd93e90d9e37732b37fa40,6cabc2981553f6d869685a9dc6297077104b878a9175deb23cfcaf0aab407686
high,4,PASI,34,4,3531,2484,2484,844.4059622523274,0.3399379880242864,0.703483432455395,0.8670020779476761,0,0.0,0,0.0,0,0.0,0.26549199863806605,5675.412105245247,0.0,0.0,3.6601350999990245,3.860686899999564,0b75b443e42a22cffa099383d7c342f7cfa4b0d5a3164b61541134438bb2477b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,844.4059622523274,7970.477557413017,0,0,0,23496,6238,b3523e2089dbd7a32da94bd9af1457f53f613cc29afd93e90d9e37732b37fa40,6cabc2981553f6d869685a9dc6297077104b878a9175deb23cfcaf0aab407686
high,4,QUAC-F,34,4,3531,2484,2484,239.59871218346052,0.09645680844744788,0.703483432455395,0.8738355667184847,0,0.0,0,0.0,0,0.0,0.26549199863806605,6179.775185514267,-0.4674258914652071,1.0,3.69657240000015,3.8035149999996065,0b75b443e42a22cffa099383d7c342f7cfa4b0d5a3164b61541134438bb2477b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,239.59871218346052,7970.477557413017,0,0,0,23496,6238,b3523e2089dbd7a32da94bd9af1457f53f613cc29afd93e90d9e37732b37fa40,6cabc2981553f6d869685a9dc6297077104b878a9175deb23cfcaf0aab407686
high,5,MOI,34,4,3531,2502,2502,901.161780659839,0.3601765710071299,0.7085811384876806,0.8660800279842527,0,0.0,0,0.0,0,0.0,0.25966121893088184,5697.166329547343,0.0,0.0,3.7477848999988055,3.927578099999664,838c25a3256ffa546f505831c0a66f66a618e58d2e5368f2a0bdf5824af0949b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,901.161780659839,7980.7507585768035,0,0,0,23496,6101,9c91d040fe812b98e9b759b6161595b173d2d116b16ce3708a8597be62bb4e8a,e98bea3768dd09dbe833671ec06e236387e333788fd0f3bd84152e44b55055a6
high,5,PASI,34,4,3531,2502,2502,763.974061656002,0.30534534838369387,0.7085811384876806,0.8668747128166143,0,0.0,0,0.0,0,0.0,0.25966121893088184,5821.557727741974,0.0,0.0,3.697531699999672,3.8538072999981523,838c25a3256ffa546f505831c0a66f66a618e58d2e5368f2a0bdf5824af0949b,ok,completed,design_expected_payment,r51-free-action-design-only-v1,763.974061656002,7980.7507585768035,0,0,0,23496,6101,9c91d040fe812b98e9b759b6161595b173d2d116b16ce3708a8597be62bb4e8a,e98bea3768dd09dbe833671ec06e236387e333788fd0f3bd84152e44b55055a6
