field,passed,max_abs_diff
reference,True,0.0
n_pairs,True,0.0
all_runs_completed,True,0.0
mean_pps,True,5.551115123125783e-17
pps_ci_low,True,5.551115123125783e-17
pps_ci_high,True,5.551115123125783e-17
delta_pps,True,9.71445146547012e-17
delta_pps_ci_low,True,8.326672684688674e-17
delta_pps_ci_high,True,8.326672684688674e-17
mean_service_coverage,True,0.0
service_coverage_ci_low,True,0.0
service_coverage_ci_high,True,0.0
delta_service_coverage,True,0.0
delta_service_coverage_ci_low,True,0.0
delta_service_coverage_ci_high,True,0.0
mean_mean_quality,True,0.0
mean_quality_ci_low,True,0.0
mean_quality_ci_high,True,0.0
delta_mean_quality,True,8.326672684688674e-17
delta_mean_quality_ci_low,True,7.621941272573096e-17
delta_mean_quality_ci_high,True,9.020562075079397e-17
mean_qos_violation_rate,True,0.0
qos_violation_rate_ci_low,True,0.0
qos_violation_rate_ci_high,True,0.0
delta_qos_violation_rate,True,0.0
delta_qos_violation_rate_ci_low,True,0.0
delta_qos_violation_rate_ci_high,True,0.0
mean_under_incentive_rate,True,0.0
under_incentive_rate_ci_low,True,0.0
under_incentive_rate_ci_high,True,0.0
delta_under_incentive_rate,True,0.0
delta_under_incentive_rate_ci_low,True,0.0
delta_under_incentive_rate_ci_high,True,0.0
mean_target_miss_rate,True,0.0
target_miss_rate_ci_low,True,0.0
target_miss_rate_ci_high,True,0.0
delta_target_miss_rate,True,0.0
delta_target_miss_rate_ci_low,True,0.0
delta_target_miss_rate_ci_high,True,0.0
mean_legal_edge_rate,True,5.551115123125783e-17
legal_edge_rate_ci_low,True,5.551115123125783e-17
legal_edge_rate_ci_high,True,5.551115123125783e-17
delta_legal_edge_rate,True,0.0
delta_legal_edge_rate_ci_low,True,0.0
delta_legal_edge_rate_ci_high,True,0.0
mean_platform_utility,True,0.0
platform_utility_ci_low,True,4.547473508864641e-13
platform_utility_ci_high,True,0.0
delta_platform_utility,True,4.263256414560601e-14
delta_platform_utility_ci_low,True,2.2737367544323206e-13
delta_platform_utility_ci_high,True,1.1368683772161603e-13
