scenario,seed,design_reserve__FROZEN_STATE,design_reserve__FULL_PASI,design_reserve__MOI,design_reserve__NO_NEGATIVE_FEEDBACK,design_reserve__NO_POSITIVE_ACCUMULATION,execution_settlement__FROZEN_STATE,execution_settlement__FULL_PASI,execution_settlement__MOI,execution_settlement__NO_NEGATIVE_FEEDBACK,execution_settlement__NO_POSITIVE_ACCUMULATION,design_pps__FROZEN_STATE,design_pps__FULL_PASI,design_pps__MOI,design_pps__NO_NEGATIVE_FEEDBACK,design_pps__NO_POSITIVE_ACCUMULATION,settlement_pps__FROZEN_STATE,settlement_pps__FULL_PASI,settlement_pps__MOI,settlement_pps__NO_NEGATIVE_FEEDBACK,settlement_pps__NO_POSITIVE_ACCUMULATION,coverage__FROZEN_STATE,coverage__FULL_PASI,coverage__MOI,coverage__NO_NEGATIVE_FEEDBACK,coverage__NO_POSITIVE_ACCUMULATION,mean_H__FROZEN_STATE,mean_H__FULL_PASI,mean_H__MOI,mean_H__NO_NEGATIVE_FEEDBACK,mean_H__NO_POSITIVE_ACCUMULATION,design_reserve_degradation_pct__NO_POSITIVE_ACCUMULATION,execution_settlement_degradation_pct__NO_POSITIVE_ACCUMULATION,design_pps_degradation_pct__NO_POSITIVE_ACCUMULATION,settlement_pps_degradation_pct__NO_POSITIVE_ACCUMULATION,coverage_diff_pp__NO_POSITIVE_ACCUMULATION,design_reserve_degradation_pct__NO_NEGATIVE_FEEDBACK,execution_settlement_degradation_pct__NO_NEGATIVE_FEEDBACK,design_pps_degradation_pct__NO_NEGATIVE_FEEDBACK,settlement_pps_degradation_pct__NO_NEGATIVE_FEEDBACK,coverage_diff_pp__NO_NEGATIVE_FEEDBACK,design_reserve_degradation_pct__FROZEN_STATE,execution_settlement_degradation_pct__FROZEN_STATE,design_pps_degradation_pct__FROZEN_STATE,settlement_pps_degradation_pct__FROZEN_STATE,coverage_diff_pp__FROZEN_STATE
burst,1,31542.140614299286,26858.51502754869,32067.712227563796,26746.530245812515,31734.66201450339,31542.140614299286,26858.51502754869,32084.206798503776,26746.530245812515,31734.66201450339,0.5762384561785101,0.49067402951420747,0.5858400421565237,0.48862819697125426,0.5797555996657421,0.5762384561785101,0.49067402951420747,0.5861413789050345,0.48862819697125426,0.5797555996657421,0.7956104651162791,0.7956104651162791,0.7956104651162791,0.7956104651162791,0.7956104651162791,0.09999999999999999,0.9157083892834504,0.9153597319650736,0.9387217792838888,0.06693096454100496,18.154938878613546,18.154938878613546,18.15493887861357,18.15493887861357,0.0,-0.41694331060860845,-0.41694331060860845,-0.41694331060860845,-0.41694331060860845,0.0,17.438140500123023,17.438140500123023,17.438140500123023,17.438140500123023,0.0
burst,2,32137.06111800149,27888.19254107217,32610.093929756968,27799.56270988915,32307.348103557903,32137.06111800149,27888.19254107217,32622.977616543867,27799.56270988915,32307.348103557903,0.5856305328012518,0.5082038148019566,0.5942505636299469,0.5065887220258246,0.5887336559435437,0.5856305328012518,0.5082038148019566,0.594485341798671,0.5065887220258246,0.5887336559435437,0.7976162790697674,0.7976162790697674,0.7976162790697674,0.7976162790697674,0.7976162790697674,0.09999999999999999,0.9142050909515717,0.9132652871823268,0.9361116847558802,0.06748404815241939,15.845973366604692,15.845973366604692,15.845973366604671,15.845973366604671,0.0,-0.31780414256855627,-0.31780414256855627,-0.31780414256855627,-0.31780414256855627,0.0,15.23536733573474,15.23536733573474,15.23536733573474,15.23536733573474,0.0
burst,3,29297.034377793752,24182.990173352406,29890.203272180315,24088.30669074417,29486.470055999845,29297.034377793752,24182.990173352406,29904.479213299222,24088.30669074417,29486.470055999845,0.5338672736810276,0.440676242749283,0.544676335663034,0.43895086631456115,0.5373192786777675,0.5338672736810276,0.440676242749283,0.5449364800061816,0.43895086631456115,0.5373192786777675,0.7976308139534883,0.7976308139534883,0.7976308139534883,0.7976308139534883,0.7976308139534883,0.09999999999999999,0.9180506086855464,0.9177867729143353,0.9389033586040917,0.06933160737442541,21.930620839814186,21.930620839814186,21.930620839814207,21.930620839814207,0.0,-0.3915292605650045,-0.3915292605650045,-0.3915292605649934,-0.3915292605649934,0.0,21.147278180994288,21.147278180994288,21.147278180994288,21.147278180994288,0.0
burst,4,30908.723083356635,25846.937185763945,31490.990990870807,25744.532029862326,31103.99712608059,30908.723083356635,25846.937185763945,31507.934350337913,25744.532029862326,31103.99712608059,0.5633493071001464,0.47109206404264836,0.5739618523470056,0.4692256047435994,0.5669084155229211,0.5633493071001464,0.47109206404264836,0.5742706658101177,0.4692256047435994,0.5669084155229211,0.7974709302325581,0.7974709302325581,0.7974709302325581,0.7974709302325581,0.7974709302325581,0.09999999999999999,0.9173839337081636,0.9178494298516329,0.9390345372928768,0.06778850376107404,20.33919880925832,20.33919880925832,20.33919880925832,20.33919880925832,0.0,-0.396198416723903,-0.396198416723903,-0.396198416723903,-0.396198416723903,0.0,19.58369713677579,19.58369713677579,19.58369713677579,19.58369713677579,0.0
burst,5,26989.494332494585,22633.51022222179,27481.23542312902,22540.199679027766,27169.615103361004,26989.494332494585,22633.51022222179,27492.46418653443,22540.199679027766,27169.615103361004,0.4928687788987324,0.41332195438681135,0.5018487111601355,0.41161796345923607,0.49615805521112133,0.4928687788987324,0.41332195438681135,0.5020537652763775,0.41161796345923607,0.49615805521112133,0.7959302325581395,0.7959302325581395,0.7959302325581395,0.7959302325581395,0.7959302325581395,0.09999999999999999,0.917197974694474,0.916999458831952,0.9377127909198935,0.06791875683095215,20.041543872791003,20.041543872791003,20.041543872791003,20.041543872791003,0.0,-0.41226721917138054,-0.41226721917138054,-0.41226721917136944,-0.41226721917136944,0.0,19.245729308024217,19.245729308024217,19.245729308024217,19.245729308024217,0.0
burst,6,30500.199837476168,25813.060779648244,31021.147149966106,25711.829062514313,30684.27698920962,30500.199837476168,25813.060779648244,31035.866993454954,25711.829062514313,30684.27698920962,0.5589290593097943,0.47303525407554187,0.5684756390985011,0.47118014005230646,0.5623023509540145,0.5589290593097943,0.47303525407554187,0.5687453864548545,0.47118014005230646,0.5623023509540145,0.7931540697674418,0.7931540697674418,0.7931540697674418,0.7931540697674418,0.7931540697674418,0.09999999999999999,0.9184913211201624,0.9183324923052387,0.9404603077518012,0.06709838853519962,18.871129817359677,18.871129817359677,18.871129817359655,18.871129817359655,0.0,-0.39217246648156623,-0.39217246648156623,-0.39217246648156623,-0.39217246648156623,0.0,18.158013487201007,18.158013487201007,18.158013487201007,18.158013487201007,0.0
burst,7,30769.789631688353,26255.530038110704,31285.68557189991,26158.374205240314,30958.49122940976,30769.789631688353,26255.530038110704,31303.004363878586,26158.374205240314,30958.49122940976,0.5608579641954058,0.4785740592415644,0.5702614846688038,0.476803146171126,0.564297532525423,0.5608579641954058,0.4785740592415644,0.5705771638634863,0.476803146171126,0.564297532525423,0.7974127906976745,0.7974127906976745,0.7974127906976745,0.7974127906976745,0.7974127906976745,0.09999999999999999,0.9180089148301951,0.91774192338389,0.9392953122045276,0.067665770178107,17.912269089493016,17.912269089493016,17.912269089492995,17.912269089492995,0.0,-0.3700395030279968,-0.3700395030279968,-0.3700395030279857,-0.3700395030279857,0.0,17.193557269744943,17.193557269744943,17.193557269744943,17.193557269744943,0.0
burst,8,29769.18987186814,25668.45928594093,30238.118307653545,25583.47740443386,29937.225624639635,29769.18987186814,25668.45928594093,30250.351836323694,25583.47740443386,29937.225624639635,0.5433622916361206,0.468513685471753,0.5519214103282447,0.46696255324135033,0.5464293650800306,0.5433622916361206,0.468513685471753,0.5521447028733768,0.46696255324135033,0.5464293650800306,0.7963226744186046,0.7963226744186046,0.7963226744186046,0.7963226744186046,0.7963226744186046,0.09999999999999999,0.9188212479046133,0.9191475752144918,0.9404668084133845,0.0676685665700391,16.630395658522378,16.630395658522378,16.630395658522378,16.630395658522378,0.0,-0.33107511658722055,-0.33107511658722055,-0.33107511658720945,-0.33107511658720945,0.0,15.975756628966241,15.975756628966241,15.975756628966241,15.975756628966241,0.0
burst,9,28540.10398697288,24298.110262523787,29021.469802781583,24215.827769126816,28701.918901929625,28540.10398697288,24298.110262523787,29033.345159843913,24215.827769126816,28701.918901929625,0.5211471767396991,0.4436876463100538,0.5299369988091006,0.44218515391729635,0.5241019447434377,0.5211471767396991,0.4436876463100538,0.5301538448587377,0.44218515391729635,0.5241019447434377,0.7959883720930233,0.7959883720930233,0.7959883720930233,0.7959883720930233,0.7959883720930233,0.09999999999999999,0.9183213110679445,0.9188638747888681,0.9400233625492582,0.06836543231251341,18.124078752733517,18.124078752733517,18.124078752733517,18.124078752733517,0.0,-0.33863741874560205,-0.33863741874560205,-0.33863741874560205,-0.33863741874560205,0.0,17.458121963466986,17.458121963466986,17.45812196346701,17.45812196346701,0.0
burst,10,29901.402999265105,25530.780285577654,30399.21845273185,25440.35614379758,30076.364270042628,29901.402999265105,25530.780285577654,30415.62638536685,25440.35614379758,30076.364270042628,0.5460645567636712,0.46624749416665423,0.5551557480684439,0.46459615296025386,0.549259729538015,0.5460645567636712,0.46624749416665423,0.555455392552081,0.46459615296025386,0.549259729538015,0.7959011627906977,0.7959011627906977,0.7959011627906977,0.7959011627906977,0.7959011627906977,0.09999999999999998,0.9152213270730916,0.9147990093966384,0.937834963203979,0.067548808205754,17.804328475744935,17.804328475744935,17.804328475744935,17.804328475744935,0.0,-0.35417696117636677,-0.35417696117636677,-0.35417696117635566,-0.35417696117635566,0.0,17.119033044816167,17.119033044816167,17.11903304481619,17.11903304481619,0.0
burst,11,29205.434543992757,24777.030954288297,29704.163210580235,24689.04581467101,29369.928090810223,29205.434543992757,24777.030954288297,29716.84827374225,24689.04581467101,29369.928090810223,0.5331793950633993,0.4523337037076146,0.5422842706765779,0.4507274319897585,0.5361824173143388,0.5331793950633993,0.4523337037076146,0.5425158513535535,0.4507274319897585,0.5361824173143388,0.7961627906976744,0.7961627906976744,0.7961627906976744,0.7961627906976744,0.7961627906976744,0.09999999999999998,0.9174733829560221,0.9165619133683451,0.9385602441243863,0.06859532005388018,18.53691487489144,18.53691487489144,18.53691487489144,18.53691487489144,0.0,-0.355107679284139,-0.355107679284139,-0.355107679284139,-0.355107679284139,0.0,17.87301956345988,17.87301956345988,17.873019563459902,17.873019563459902,0.0
burst,12,27968.377024056223,23435.183810616003,28489.56774743614,23343.30684410986,28144.688450149217,27968.377024056223,23435.183810616003,28508.099564989832,23343.30684410986,28144.688450149217,0.5125229434498116,0.4294517832255086,0.5220738088223592,0.4277681298169298,0.5157538656798464,0.5125229434498116,0.4294517832255086,0.5224134059921172,0.4277681298169298,0.5157538656798464,0.7931686046511628,0.7931686046511628,0.7931686046511628,0.7931686046511628,0.7931686046511628,0.09999999999999998,0.9147105235494589,0.913133011627338,0.937060953994998,0.067569161238172,20.09587241811961,20.09587241811961,20.09587241811961,20.09587241811961,0.0,-0.3920471341237186,-0.3920471341237186,-0.3920471341237186,-0.3920471341237186,0.0,19.343535984499983,19.343535984499983,19.343535984499958,19.343535984499958,0.0
burst,13,29551.5221951435,25086.048544333422,30050.768739177147,24996.87342221579,29717.52369167676,29551.5221951435,25086.048544333422,30065.404375109363,24996.87342221579,29717.52369167676,0.5401188418683586,0.45850252306277156,0.549243666755198,0.4568726522438139,0.5431528830748955,0.5401188418683586,0.45850252306277156,0.549511165081596,0.4568726522438139,0.5431528830748955,0.7952470930232558,0.7952470930232558,0.7952470930232558,0.7952470930232558,0.7952470930232558,0.09999999999999998,0.9165225627613545,0.9166347484281943,0.9377632937043607,0.06937666686808318,18.462354241076852,18.462354241076852,18.462354241076852,18.462354241076852,0.0,-0.35547695748111563,-0.35547695748111563,-0.3554769574811045,-0.3554769574811045,0.0,17.80062588541378,17.80062588541378,17.80062588541378,17.80062588541378,0.0
burst,14,31439.60094253193,27505.68104095021,31866.151173082042,27419.311693526186,31600.95055934392,31439.60094253193,27505.68104095021,31884.93383151333,27419.311693526186,31600.95055934392,0.576355220857063,0.5042380436112525,0.5841748001444947,0.5026547084919281,0.5793131049028198,0.576355220857063,0.5042380436112525,0.5845191265011884,0.5026547084919281,0.5793131049028198,0.7928633720930233,0.7928633720930233,0.7928633720930233,0.7928633720930233,0.7928633720930233,0.09999999999999999,0.9187784920478861,0.9178621754137022,0.9409577825153649,0.06612421697599807,14.88881337748631,14.88881337748631,14.88881337748631,14.88881337748631,0.0,-0.31400548597738664,-0.31400548597738664,-0.31400548597738664,-0.31400548597738664,0.0,14.30220868090828,14.30220868090828,14.30220868090828,14.30220868090828,0.0
burst,15,28901.158515806696,24996.298020232833,29336.40354925141,24905.8423043503,29062.615498973268,28901.158515806696,24996.298020232833,29350.98051803057,24905.8423043503,29062.615498973268,0.5298589882813585,0.45826928261495703,0.5378385470575013,0.45661091400403886,0.5328190576399903,0.5298589882813585,0.45826928261495703,0.5381057937121747,0.45661091400403886,0.5328190576399903,0.7928052325581395,0.7928052325581395,0.7928052325581395,0.7928052325581395,0.7928052325581395,0.09999999999999999,0.9177825856126823,0.9177823509848163,0.9400672014323831,0.06673674664482714,16.2676788196757,16.2676788196757,16.267678819675723,16.267678819675723,0.0,-0.36187644990196555,-0.36187644990196555,-0.36187644990195444,-0.36187644990195444,0.0,15.621755239168378,15.621755239168378,15.621755239168378,15.621755239168378,0.0
burst,16,26913.08964942667,22799.810699478494,27369.558775133297,22709.025938945608,27069.724668680883,26913.08964942667,22799.810699478494,27381.035104902458,22709.025938945608,27069.724668680883,0.4927603063043864,0.4174489755841312,0.501117944506899,0.4157867685692295,0.4956281866210316,0.4927603063043864,0.4174489755841312,0.5013280682736594,0.4157867685692295,0.4956281866210316,0.7938517441860465,0.7938517441860465,0.7938517441860465,0.7938517441860465,0.7938517441860465,0.09999999999999998,0.9212649125380553,0.9216509241497645,0.942070746312984,0.06843037243028192,18.72784833823229,18.72784833823229,18.72784833823229,18.72784833823229,0.0,-0.39818208023526536,-0.39818208023526536,-0.39818208023525425,-0.39818208023525425,0.0,18.040846935813647,18.040846935813647,18.040846935813647,18.040846935813647,0.0
burst,17,30580.73937914997,26129.483340098875,31082.25392113321,26034.259945459555,30762.742718508925,30580.73937914997,26129.483340098875,31097.838482641768,26034.259945459555,30762.742718508925,0.5606618396001388,0.4790533026565502,0.5698565180612571,0.47730749386659493,0.5639986564701696,0.5606618396001388,0.4790533026565502,0.5701422426415695,0.47730749386659493,0.5639986564701696,0.7927906976744186,0.7927906976744186,0.7927906976744186,0.7927906976744186,0.7927906976744186,0.09999999999999999,0.9166328905000253,0.9165996826996835,0.9383181309250325,0.06761316563928527,17.731921133318963,17.731921133318963,17.731921133318984,17.731921133318984,0.0,-0.36442892268439,-0.36442892268439,-0.3644289226844011,-0.3644289226844011,0.0,17.03537716805943,17.03537716805943,17.03537716805943,17.03537716805943,0.0
burst,18,32029.455410350183,27718.743069683176,32521.054784126954,27632.97733390294,32196.605876893704,32029.455410350183,27718.743069683176,32536.511055463758,27632.97733390294,32196.605876893704,0.5808540751215078,0.50267932011322,0.5897692282493735,0.5011239587592569,0.5838853483169582,0.5808540751215078,0.50267932011322,0.5900495276824156,0.5011239587592569,0.5838853483169582,0.8014825581395348,0.8014825581395348,0.8014825581395348,0.8014825581395348,0.8014825581395348,0.09999999999999998,0.9166846890688362,0.9166532263196743,0.9379766516753504,0.06901513150816875,16.154638743731866,16.154638743731866,16.154638743731866,16.154638743731866,0.0,-0.30941423124642986,-0.30941423124642986,-0.30941423124644096,-0.30941423124644096,0.0,15.55161548931041,15.55161548931041,15.55161548931041,15.55161548931041,0.0
