scenario,N,M,seed,method,core_time_s,assigned,execution_settlement,coverage_first_calls,solver_counts,event_fingerprints,ir_violations,target_violations,legacy_core_time_s_median,current_over_legacy_ratio
stationary,25,20,1,MOI,8.24986570001056,16833,12998.975518113402,1000,"{""full_cardinality_hungarian_exact"": 136, ""k_cardinality_hungarian_exact"": 864}","{""provider_static"": ""b66313b49f29f9d2bda17eba417599fdecd2be6d3ba72ccded4211933270a273"", ""providers"": ""bdad964f082b37e83a99c54bff1e105faebf989f095a7dbefdbab4da0f1044cb"", ""tasks"": ""64329813e8bb67d38ee2a56bbac9bc8b699f87a1370813a4a249024db6510900""}",0,0,8.547067700000019,0.9652276066574904
stationary,25,20,1,PASI,8.480098900006851,16833,11226.39654254922,1000,"{""full_cardinality_hungarian_exact"": 136, ""k_cardinality_hungarian_exact"": 864}","{""provider_static"": ""b66313b49f29f9d2bda17eba417599fdecd2be6d3ba72ccded4211933270a273"", ""providers"": ""bdad964f082b37e83a99c54bff1e105faebf989f095a7dbefdbab4da0f1044cb"", ""tasks"": ""64329813e8bb67d38ee2a56bbac9bc8b699f87a1370813a4a249024db6510900""}",0,0,8.391940000000002,1.0105051871208386
stationary,50,40,1,MOI,17.18385469999339,33794,22749.123635319036,1000,"{""full_cardinality_hungarian_exact"": 58, ""k_cardinality_hungarian_exact"": 942}","{""provider_static"": ""1e8240e36656de6de3b74e4d328610cdeabc8b3da82e9c788991e2630cce9046"", ""providers"": ""2d1af0d79b54deba4597d318bb647228de961861d6ecd7deb56aff89a4c9ddfd"", ""tasks"": ""8ce2aa55d23202c55801695d5f69758bc36882040001074b50ba993764edc63f""}",0,0,14.431247999999988,1.19073933869014
stationary,50,40,1,PASI,16.788282199995592,33794,19374.907448677906,1000,"{""full_cardinality_hungarian_exact"": 58, ""k_cardinality_hungarian_exact"": 942}","{""provider_static"": ""1e8240e36656de6de3b74e4d328610cdeabc8b3da82e9c788991e2630cce9046"", ""providers"": ""2d1af0d79b54deba4597d318bb647228de961861d6ecd7deb56aff89a4c9ddfd"", ""tasks"": ""8ce2aa55d23202c55801695d5f69758bc36882040001074b50ba993764edc63f""}",0,0,15.047666400000022,1.1156734708044542
stationary,100,80,1,MOI,62.556772299998556,67728,46594.42336061482,1000,"{""full_cardinality_hungarian_exact"": 26, ""k_cardinality_hungarian_exact"": 974}","{""provider_static"": ""49e6461538feeda618ad7e5b85ca2067747ec850648a87b9a5e1496584aa4f8d"", ""providers"": ""1986776b3f34c5e416091b56bc06951702dc130358a6881a6685edcb4a127f9f"", ""tasks"": ""d282f58981bf623658a52cc18293e8f910712a9b83826cd50148c6be2f97d53d""}",0,0,38.3848861,1.6297240569380913
stationary,100,80,1,PASI,60.10044379999454,67728,39750.42546626266,1000,"{""full_cardinality_hungarian_exact"": 26, ""k_cardinality_hungarian_exact"": 974}","{""provider_static"": ""49e6461538feeda618ad7e5b85ca2067747ec850648a87b9a5e1496584aa4f8d"", ""providers"": ""1986776b3f34c5e416091b56bc06951702dc130358a6881a6685edcb4a127f9f"", ""tasks"": ""d282f58981bf623658a52cc18293e8f910712a9b83826cd50148c6be2f97d53d""}",0,0,39.106705600000005,1.5368321846060724
stationary,200,160,1,MOI,339.2491621000081,135148,88642.76916605036,1000,"{""full_cardinality_hungarian_exact"": 9, ""k_cardinality_hungarian_exact"": 991}","{""provider_static"": ""1f7063a7bc69a4573c7e29201ab0087946f1f2a23ea64ed1007aa32a40678a20"", ""providers"": ""4fd8fbdeb8c23754bcdbd9ad393968efd131ec33d513dc07b71bde3a3c9b694d"", ""tasks"": ""4a8696c5e4f8cfe86cef54fc69d3edce661f4499f0f4d66406a586b98f07d7b2""}",0,0,137.31040590000003,2.4706733613989558
stationary,200,160,1,PASI,340.2776414999971,135148,74665.88972478136,1000,"{""full_cardinality_hungarian_exact"": 9, ""k_cardinality_hungarian_exact"": 991}","{""provider_static"": ""1f7063a7bc69a4573c7e29201ab0087946f1f2a23ea64ed1007aa32a40678a20"", ""providers"": ""4fd8fbdeb8c23754bcdbd9ad393968efd131ec33d513dc07b71bde3a3c9b694d"", ""tasks"": ""4a8696c5e4f8cfe86cef54fc69d3edce661f4499f0f4d66406a586b98f07d7b2""}",0,0,133.03311690000007,2.5578416068818495
burst,25,20,1,MOI,8.0384183999995,13676,9146.437126159162,1000,"{""full_cardinality_hungarian_exact"": 268, ""k_cardinality_hungarian_exact"": 732}","{""provider_static"": ""b66313b49f29f9d2bda17eba417599fdecd2be6d3ba72ccded4211933270a273"", ""providers"": ""9fd7bf50f28c82e2f563a4495ab047dd931c299ded208147f6e72e30095910a3"", ""tasks"": ""7696194f1dad0eb21dae7e4e7ee8a3016fad0a5e85e269f78abf22faf95b34c7""}",0,0,8.117604699999996,0.9902451150398472
burst,25,20,1,PASI,7.848594200011576,13676,7804.977703292521,1000,"{""full_cardinality_hungarian_exact"": 268, ""k_cardinality_hungarian_exact"": 732}","{""provider_static"": ""b66313b49f29f9d2bda17eba417599fdecd2be6d3ba72ccded4211933270a273"", ""providers"": ""9fd7bf50f28c82e2f563a4495ab047dd931c299ded208147f6e72e30095910a3"", ""tasks"": ""7696194f1dad0eb21dae7e4e7ee8a3016fad0a5e85e269f78abf22faf95b34c7""}",0,0,7.923215099999996,0.9905819924050251
burst,50,40,1,MOI,14.870418699996662,27309,15861.674914436511,1000,"{""full_cardinality_hungarian_exact"": 201, ""k_cardinality_hungarian_exact"": 799}","{""provider_static"": ""1e8240e36656de6de3b74e4d328610cdeabc8b3da82e9c788991e2630cce9046"", ""providers"": ""9247196da75b789a91f899b730bd1b2631968077c408a8d2d4f4eeb0a8ba1045"", ""tasks"": ""c95412ff4673a0ba459199b4efb4da1375a0ac74cf28b9c36416adef6c33023a""}",0,0,13.092455900000004,1.1358005567157692
burst,50,40,1,PASI,14.962041200007661,27309,13366.615938826573,1000,"{""full_cardinality_hungarian_exact"": 201, ""k_cardinality_hungarian_exact"": 799}","{""provider_static"": ""1e8240e36656de6de3b74e4d328610cdeabc8b3da82e9c788991e2630cce9046"", ""providers"": ""9247196da75b789a91f899b730bd1b2631968077c408a8d2d4f4eeb0a8ba1045"", ""tasks"": ""c95412ff4673a0ba459199b4efb4da1375a0ac74cf28b9c36416adef6c33023a""}",0,0,13.5684984,1.10270427566308
