workload,seed,pps_saving_percent,payment_saving_percent,coverage_delta_pp,qualified_coverage_delta_pp,quality_delta,qos_delta_pp
low,1,12.48373639891016,12.483736398910146,0.0,0.0,0.0,0.0
low,2,14.912446632634047,14.912446632634063,0.0,0.0,6.425865713621803e-05,0.0
low,3,7.801448385371678,7.801448385371696,0.0,0.0,0.0,0.0
low,4,11.690009286734178,11.690009286734181,0.0,0.0,4.6988480739917904e-05,0.0
low,5,15.785822501759942,15.785822501759926,0.0,0.0,-1.1102230246251565e-16,0.0
low,6,15.546277832951011,15.546277832951006,0.0,0.0,0.0,0.0
low,7,15.337325921290125,15.33732592129011,0.0,0.0,0.0001403761716378682,0.0
low,8,14.46295676713822,14.462956767138225,0.0,0.0,0.0001203275431370665,0.0
low,9,15.172837425290346,15.172837425290334,0.0,0.0,0.0,0.0
low,10,14.195840794412259,14.19584079441226,0.0,0.0,0.0,0.0
low,11,10.951332156147066,10.951332156147053,0.0,0.0,0.0,0.0
low,12,12.421241937059701,12.421241937059685,0.0,0.0,0.00028685940634298746,0.0
low,13,9.31269858900482,9.312698589004814,0.0,0.0,0.0,0.0
low,14,11.610070697729432,11.610070697729409,0.0,0.0,0.0,0.0
low,15,8.315897839447192,8.315897839447192,0.0,0.0,9.82753606715292e-06,0.0
low,16,11.506479371794649,11.506479371794635,0.0,0.0,0.0,0.0
low,17,9.432251987460672,9.432251987460669,0.0,0.0,0.0,0.0
low,18,11.206115621292644,11.206115621292621,0.0,0.0,0.0,0.0
low,19,14.204200597703245,14.204200597703228,0.0,0.0,0.0,0.0
low,20,12.932866524440815,12.932866524440806,0.0,0.0,3.361666004897401e-05,0.0
low,21,13.483834306307214,13.4838343063072,0.0,0.0,0.0,0.0
low,22,11.078855809896147,11.078855809896123,0.0,0.0,0.0,0.0
low,23,9.800663483773697,9.800663483773702,0.0,0.0,0.0,0.0
low,24,14.239321637829319,14.239321637829335,0.0,0.0,9.696282486704177e-05,0.0
low,25,11.660591080886743,11.660591080886721,0.0,0.0,0.0,0.0
low,26,14.108182781877556,14.108182781877552,0.0,0.0,1.1102230246251565e-16,0.0
low,27,13.136881329756552,13.136881329756557,0.0,0.0,0.0,0.0
low,28,10.304932948556688,10.304932948556669,0.0,0.0,0.00014132165232794147,0.0
low,29,17.22189021537807,17.221890215378064,0.0,0.0,0.0,0.0
low,30,13.570055222417706,13.570055222417686,0.0,0.0,0.0,0.0
medium,1,11.727102073065607,11.727102073065604,0.0,0.0,0.00019012040527355278,0.0
medium,2,16.104800734652414,16.10480073465243,0.0,0.0,0.00035438542544441454,0.0
medium,3,7.431644035866762,7.431644035866764,0.0,0.0,0.0,0.0
medium,4,11.746093746788286,11.746093746788299,0.0,0.0,0.00011348499409513657,0.0
medium,5,16.129262043183036,16.12926204318306,0.0,0.0,1.2000474963858032e-05,0.0
medium,6,17.415907401311145,17.415907401311163,0.0,0.0,0.00022589407438755593,0.0
medium,7,15.613715950575552,15.613715950575559,0.0,0.0,0.00012027552263149666,0.0
medium,8,15.536933574017366,15.53693357401736,0.0,0.0,4.6491960535410826e-05,0.0
medium,9,15.499996520434113,15.499996520434136,0.0,0.0,7.47676555177268e-05,0.0
medium,10,14.886711054848716,14.886711054848691,0.0,0.0,7.805504112246009e-05,0.0
medium,11,12.793394007392163,12.793394007392152,0.0,0.0,0.0001092285741680632,0.0
medium,12,12.9983781801734,12.998378180173406,0.0,0.0,0.00013752586153437107,0.0
medium,13,9.027156078084621,9.027156078084634,0.0,0.0,0.00020626009177193705,0.0
medium,14,11.678648531521073,11.678648531521079,0.0,0.0,3.5108769495306724e-05,0.0
medium,15,7.6928960135456705,7.692896013545653,0.0,0.0,0.00018433223922598163,0.0
medium,16,11.43061866815799,11.430618668157978,0.0,0.0,0.00014122216502976404,0.0
medium,17,10.259859376887817,10.259859376887812,0.0,0.0,0.0001010982778757441,0.0
medium,18,12.81885354074676,12.81885354074678,0.0,0.0,7.750553105412283e-05,0.0
medium,19,14.965684216060316,14.965684216060325,0.0,0.0,0.00014838292954622023,0.0
medium,20,13.076170400197297,13.076170400197306,0.0,0.0,0.00011937695901598211,0.0
medium,21,15.064105407306227,15.06410540730622,0.0,0.0,3.873135310161757e-05,0.0
medium,22,11.583351373258173,11.583351373258152,0.0,0.0,7.686458960853848e-05,0.0
medium,23,10.515321663196676,10.515321663196662,0.0,0.0,3.494040872065174e-05,0.0
medium,24,15.277921218408528,15.277921218408526,0.0,0.0,0.0001468880268427064,0.0
medium,25,12.564729753955314,12.564729753955303,0.0,0.0,2.4650029427752962e-05,0.0
medium,26,17.168600804987687,17.16860080498768,0.0,0.0,0.0001966602058323108,0.0
medium,27,12.843979783890333,12.843979783890315,0.0,0.0,5.030499620595208e-05,0.0
medium,28,10.641002162298586,10.641002162298582,0.0,0.0,4.597915906712213e-05,0.0
medium,29,17.90846417548938,17.908464175489357,0.0,0.0,0.00029886245293486713,0.0
medium,30,14.246257451000707,14.246257451000695,0.0,0.0,0.00011033278697936133,0.0
high,1,10.860960315094943,10.860960315094935,0.0,0.0,0.0003776084096008825,0.0
high,2,15.910331144132954,15.910331144132979,0.0,0.0,0.00016959440079411525,0.0
high,3,7.138887174094037,7.138887174094035,0.0,0.0,0.0001965398668511975,0.0
high,4,11.90699742046683,11.906997420466832,0.0,0.0,0.00038424208527143566,0.0
high,5,15.223428461800388,15.223428461800369,0.0,0.0,0.0006337388918566944,0.0
high,6,17.85067398298187,17.85067398298185,0.0,0.0,0.00023723976632306076,0.0
high,7,16.11943934101483,16.119439341014818,0.0,0.0,0.0003393806560120227,0.0
high,8,15.14031074827115,15.14031074827115,0.0,0.0,0.0004952142860864539,0.0
high,9,15.142278819582126,15.142278819582124,0.0,0.0,0.00042487383567790804,0.0
high,10,14.304732908525992,14.304732908526,0.0,0.0,0.0002748664390247457,0.0
high,11,13.133730677096471,13.133730677096475,0.0,0.0,0.00019536661817465273,0.0
high,12,12.759158991084506,12.759158991084501,0.0,0.0,0.00018847505215713323,0.0
high,13,8.71819526846739,8.71819526846737,0.0,0.0,0.0001723903808070748,0.0
high,14,11.803865197875556,11.803865197875554,0.0,0.0,0.00032449437079029586,0.0
high,15,7.605723476664007,7.605723476664027,0.0,0.0,3.061319710895294e-05,0.0
high,16,11.304971177756586,11.304971177756581,0.0,0.0,0.00024669230579643653,0.0
high,17,9.66191371434512,9.66191371434509,0.0,0.0,0.00024526842253347336,0.0
high,18,13.193611276363448,13.193611276363452,0.0,0.0,0.0002992650728717017,0.0
high,19,14.51790138124166,14.51790138124167,0.0,0.0,0.00034374959625704804,0.0
high,20,12.668495182453176,12.668495182453201,0.0,0.0,0.00024608624797428647,0.0
high,21,14.646807342522886,14.646807342522884,0.0,0.0,0.0003059898424073726,0.0
high,22,11.374465355185917,11.374465355185917,0.0,0.0,0.00024465237372395254,0.0
high,23,10.663010991862086,10.66301099186209,0.0,0.0,0.00022423587169551062,0.0
high,24,15.376399933998677,15.376399933998655,0.0,0.0,0.00019728199517232703,0.0
high,25,12.38282147426029,12.382821474260268,0.0,0.0,0.00043185980251514433,0.0
high,26,17.613980847394334,17.613980847394323,0.0,0.0,0.00031870322335314505,0.0
high,27,12.558670384723026,12.558670384723019,0.0,0.0,0.00024571137917672736,0.0
high,28,10.545832901539736,10.545832901539736,0.0,0.0,0.00026588329034682445,0.0
high,29,17.6400615071499,17.64006150714988,0.0,0.0,0.00043443789281605305,0.0
high,30,13.915168745238041,13.915168745238063,0.0,0.0,0.00030408093559808336,0.0
