workload,seed,method,tasks,assigned,qualified,coverage,qualified_coverage,payment,pps,mean_quality,high_quality_rate,platform_utility,quality_violations,deadline_violations,qos_violations,qos_violation_rate,target_violations,ir_violations,design_reserve,available_budget,slots_reserve_exceeds_budget,slots_settlement_exceeds_reserve,slots_settlement_exceeds_budget,candidate_rows,spatial_candidate_rows,legal_rows,spatial_graph_sha256,config_sha256,mean_runtime_state,diagnostic_status,instrumented_runtime_s,core_protocol_version,decision_cost_basis
high,1,MOI,3531,2516,2516,0.712546020957236,0.712546020957236,1035.179596418682,0.4114386313269801,0.8661540892376497,0.8608903020667726,5591.871317850438,0,0,0,0.0,0,0,1035.179596418682,7976.68985049328,0,0,0,23496,6986,6259,e60a9613cc052e89d5f54455389db3597a9004f2d0eaa3214d6c414d8926d44a,c2f994bff500ad2f16349704d1cc330c04fbd86f946202d473d84b8fb69a9187,0.8207890630134131,ok,3.654377699996985,r51-free-action-design-only-v1,design_expected_payment
high,1,PASI,3531,2516,2516,0.712546020957236,0.712546020957236,922.749151261689,0.36675244485758707,0.8665316976472506,0.863275039745628,5696.802710395769,0,0,0,0.0,0,0,922.749151261689,7976.68985049328,0,0,0,23496,6986,6259,e60a9613cc052e89d5f54455389db3597a9004f2d0eaa3214d6c414d8926d44a,c2f994bff500ad2f16349704d1cc330c04fbd86f946202d473d84b8fb69a9187,0.8205787136883528,ok,3.7387356999970507,r51-free-action-design-only-v1,design_expected_payment
high,2,MOI,3531,2511,2511,0.7111299915038233,0.7111299915038233,834.4192074643008,0.33230553861581075,0.8664056155126656,0.8785344484269215,5734.803910286867,0,0,0,0.0,0,0,834.4192074643008,7937.011670474265,0,0,0,23496,6940,6088,ec6fb6e3e70e4e4cfaf432beb8c8e81197411dc276b4156fadadf46c4149536b,cf30069c46baf5d85099f56d0ad1e08be1e5ed601a1f6ce4de8836c5921a54a7,0.8259565215403732,ok,3.6070392000037828,r51-free-action-design-only-v1,design_expected_payment
high,2,PASI,3531,2511,2511,0.7111299915038233,0.7111299915038233,701.6603484264806,0.2794346270117406,0.8665752099134597,0.8793309438470729,5862.986464233199,0,0,0,0.0,0,0,701.6603484264806,7937.011670474265,0,0,0,23496,6940,6088,ec6fb6e3e70e4e4cfaf432beb8c8e81197411dc276b4156fadadf46c4149536b,cf30069c46baf5d85099f56d0ad1e08be1e5ed601a1f6ce4de8836c5921a54a7,0.8254012793623494,ok,3.640152500003751,r51-free-action-design-only-v1,design_expected_payment
high,3,MOI,3531,2478,2478,0.7017841971112999,0.7017841971112999,980.7880597542168,0.39579824848838446,0.8670865385731179,0.8660209846650525,5528.733351095274,0,0,0,0.0,0,0,980.7880597542168,7963.836384993796,0,0,0,23496,6979,6114,c44b94beec3a0f3f02bc5e6fa6cd1528e66f2f4dc81fc3d375d0a2fa4a82c358,f323c512f387435afbc8f5512e1a481bb88bc363f4c7b93275a2ba503c3edb4e,0.8183282521945985,ok,3.6461454999953276,r51-free-action-design-only-v1,design_expected_payment
high,3,PASI,3531,2478,2478,0.7017841971112999,0.7017841971112999,910.7707067513771,0.36754265809175835,0.8672830784399691,0.8664245359160614,5592.628978854979,0,0,0,0.0,0,0,910.7707067513771,7963.836384993796,0,0,0,23496,6979,6114,c44b94beec3a0f3f02bc5e6fa6cd1528e66f2f4dc81fc3d375d0a2fa4a82c358,f323c512f387435afbc8f5512e1a481bb88bc363f4c7b93275a2ba503c3edb4e,0.8184638683726541,ok,3.6733416999995825,r51-free-action-design-only-v1,design_expected_payment
high,4,MOI,3531,2484,2484,0.703483432455395,0.703483432455395,958.5392000800186,0.38588534624799464,0.8661856126157178,0.8619162640901772,5569.272389368434,0,0,0,0.0,0,0,958.5392000800186,7970.477557413017,0,0,0,23496,6971,6238,b3523e2089dbd7a32da94bd9af1457f53f613cc29afd93e90d9e37732b37fa40,f9a39362284096b528cbdd80e934803fb275a06039c402edc828f72a8e109b8d,0.8178381967329208,ok,3.5747260999996797,r51-free-action-design-only-v1,design_expected_payment
high,4,PASI,3531,2484,2484,0.703483432455395,0.703483432455395,844.4059622523274,0.3399379880242864,0.8665698547009892,0.8635265700483091,5675.412105245247,0,0,0,0.0,0,0,844.4059622523274,7970.477557413017,0,0,0,23496,6971,6238,b3523e2089dbd7a32da94bd9af1457f53f613cc29afd93e90d9e37732b37fa40,f9a39362284096b528cbdd80e934803fb275a06039c402edc828f72a8e109b8d,0.8172068064887187,ok,3.6846154000013485,r51-free-action-design-only-v1,design_expected_payment
high,5,MOI,3531,2502,2502,0.7085811384876806,0.7085811384876806,901.161780659839,0.3601765710071299,0.8656019750512766,0.8669064748201439,5697.166329547343,0,0,0,0.0,0,0,901.161780659839,7980.7507585768035,0,0,0,23496,6904,6101,9c91d040fe812b98e9b759b6161595b173d2d116b16ce3708a8597be62bb4e8a,f89fd8497f1a83f6dcd3a265b14c9dff51906af2dbdf75f49e3940727c13c2b0,0.8196217279594623,ok,3.664453200006392,r51-free-action-design-only-v1,design_expected_payment
high,5,PASI,3531,2502,2502,0.7085811384876806,0.7085811384876806,763.974061656002,0.30534534838369387,0.8662357139431333,0.8685051958433253,5821.557727741974,0,0,0,0.0,0,0,763.974061656002,7980.7507585768035,0,0,0,23496,6904,6101,9c91d040fe812b98e9b759b6161595b173d2d116b16ce3708a8597be62bb4e8a,f89fd8497f1a83f6dcd3a265b14c9dff51906af2dbdf75f49e3940727c13c2b0,0.8191022671522364,ok,3.6370546000034665,r51-free-action-design-only-v1,design_expected_payment
high,6,MOI,3531,2523,2523,0.7145284621920136,0.7145284621920136,863.4387932591585,0.3422270286401738,0.866066133455945,0.8707887435592548,5762.080051394288,0,0,0,0.0,0,0,863.4387932591585,7953.303198377519,0,0,0,23496,6973,6201,2e819b4fd88809fe30a8e26b180554e99e1dc9845ddda4dd3314189e44d73369,b46386f1d41e82b0659b185f8192a6d44ce4749075cddf13cf1a0d251d705234,0.8221531876397927,ok,3.736401100002695,r51-free-action-design-only-v1,design_expected_payment
high,6,PASI,3531,2523,2523,0.7145284621920136,0.7145284621920136,709.3091492318734,0.28113719747597044,0.866303373222268,0.8727705112960761,5912.2754645178575,0,0,0,0.0,0,0,709.3091492318734,7953.303198377519,0,0,0,23496,6973,6201,2e819b4fd88809fe30a8e26b180554e99e1dc9845ddda4dd3314189e44d73369,b46386f1d41e82b0659b185f8192a6d44ce4749075cddf13cf1a0d251d705234,0.8220451559187397,ok,3.7738500999985263,r51-free-action-design-only-v1,design_expected_payment
