scenario,seed,design_reserve_MOI,design_reserve_PASI,payment_MOI,payment_PASI,pps_MOI,pps_PASI,coverage_MOI,coverage_PASI,qualified_coverage_MOI,qualified_coverage_PASI,mean_quality_MOI,mean_quality_PASI,assigned_MOI,assigned_PASI,qualified_MOI,qualified_PASI,payment_saving_percent,pps_saving_percent,decision_fee_saving_percent,decision_fee_per_service_MOI,decision_fee_per_service_PASI,decision_fee_per_service_saving_percent,coverage_delta_pp,qualified_coverage_delta_pp,mean_quality_delta
burst,1,32067.7122275638,26858.51502754869,32084.206798503776,26858.51502754869,0.5861413789050345,0.4906740295142074,0.7956104651162791,0.7956104651162791,0.7956104651162791,0.7956104651162791,0.8895083818652267,0.8891384102124025,54738,54738,54738,54738,16.287427031541213,16.287427031541228,16.24436805173007,0.5858400421565237,0.49067402951420747,16.244368051730063,0.0,0.0,-0.0003699716528242636
burst,2,32610.093929756968,27888.19254107217,32622.977616543867,27888.19254107217,0.594485341798671,0.5082038148019566,0.7976162790697674,0.7976162790697674,0.7976162790697674,0.7976162790697674,0.8892108557204024,0.8889319254280198,54876,54876,54876,54876,14.513650872477616,14.513650872477612,14.479876687432736,0.5942505636299469,0.5082038148019566,14.479876687432723,0.0,0.0,-0.00027893029238257316
burst,3,29890.203272180315,24182.99017335241,29904.479213299222,24182.99017335241,0.5449364800061816,0.440676242749283,0.7976308139534883,0.7976308139534883,0.7976308139534883,0.7976308139534883,0.8892237799953105,0.888873623419908,54877,54877,54877,54877,19.132548669840514,19.13254866984054,19.0939253469038,0.544676335663034,0.44067624274928313,19.093925346903795,0.0,0.0,-0.0003501565754024938
burst,4,31490.990990870807,25846.937185763945,31507.934350337917,25846.937185763945,0.5742706658101177,0.4710920640426483,0.7974709302325581,0.7974709302325581,0.7974709302325581,0.7974709302325581,0.8899453757662205,0.8895863486289574,54866,54866,54866,54866,17.966893994474948,17.96689399447495,17.922757041031403,0.5739618523470056,0.47109206404264836,17.922757041031403,0.0,0.0,-0.00035902713726310154
burst,5,27481.23542312902,22633.51022222179,27492.46418653443,22633.51022222179,0.5020537652763775,0.4133219543868113,0.7959302325581395,0.7959302325581395,0.7959302325581395,0.7959302325581395,0.8894692892729883,0.8891568315426864,54760,54760,54760,54760,17.673766641451202,17.673766641451213,17.64012835036972,0.5018487111601355,0.41332195438681135,17.640128350369732,0.0,0.0,-0.00031245773030186275
burst,6,31021.147149966106,25813.060779648244,31035.866993454954,25813.060779648244,0.5687453864548545,0.4730352540755418,0.7931540697674418,0.7931540697674418,0.7931540697674418,0.7931540697674418,0.8890205742119782,0.888665590914276,54569,54569,54569,54569,16.828291650135405,16.82829165013542,16.788825845608848,0.5684756390985011,0.47303525407554187,16.788825845608844,0.0,0.0,-0.00035498329770222714
burst,7,31285.68557189991,26255.530038110704,31303.004363878583,26255.530038110704,0.5705771638634863,0.4785740592415644,0.7974127906976745,0.7974127906976745,0.7974127906976745,0.7974127906976745,0.8897801051347338,0.889339668741358,54862,54862,54862,54862,16.12456832288054,16.12456832288055,16.07813746714624,0.5702614846688038,0.4785740592415644,16.07813746714625,0.0,0.0,-0.0004404363933758759
burst,8,30238.118307653545,25668.45928594093,30250.35183632369,25668.45928594093,0.5521447028733768,0.468513685471753,0.7963226744186046,0.7963226744186046,0.7963226744186046,0.7963226744186046,0.89026015630567,0.8899422844537838,54787,54787,54787,54787,15.146576063558257,15.14657606355827,15.112246652451224,0.5519214103282447,0.468513685471753,15.11224665245122,0.0,0.0,-0.00031787185188625333
burst,9,29021.469802781583,24298.110262523787,29033.345159843917,24298.110262523787,0.5301538448587377,0.4436876463100538,0.7959883720930233,0.7959883720930233,0.7959883720930233,0.7959883720930233,0.8896700896256085,0.8893108873003396,54764,54764,54764,54764,16.30964283051146,16.30964283051145,16.2753973949489,0.5299369988091006,0.4436876463100538,16.27539739494891,0.0,0.0,-0.0003592023252688703
burst,10,30399.21845273185,25530.780285577654,30415.62638536685,25530.780285577654,0.555455392552081,0.4662474941666542,0.7959011627906977,0.7959011627906977,0.7959011627906977,0.7959011627906977,0.8896345499853981,0.8891933190362116,54758,54758,54758,54758,16.060317278684508,16.060317278684526,16.015010960640964,0.5551557480684439,0.46624749416665423,16.015010960640975,0.0,0.0,-0.00044123094918657735
burst,11,29704.163210580235,24777.030954288297,29716.84827374225,24777.030954288297,0.5425158513535535,0.4523337037076146,0.7961627906976744,0.7961627906976744,0.7961627906976744,0.7961627906976744,0.8901956918771924,0.889856013093484,54776,54776,54776,54776,16.622951646654823,16.622951646654816,16.587345758108942,0.5422842706765779,0.4523337037076146,16.58734575810893,0.0,0.0,-0.0003396787837083304
burst,12,28489.56774743614,23435.183810616003,28508.099564989832,23435.183810616003,0.5224134059921172,0.4294517832255086,0.7931686046511628,0.7931686046511628,0.7931686046511628,0.7931686046511628,0.8890910644807832,0.8885788652135386,54570,54570,54570,54570,17.794647246860904,17.79464724686091,17.7411745296662,0.5220738088223592,0.4294517832255086,17.741174529666203,0.0,0.0,-0.0005121992672446618
burst,13,30050.768739177147,25086.048544333426,30065.404375109363,25086.048544333426,0.549511165081596,0.4585025230627715,0.7952470930232558,0.7952470930232558,0.7952470930232558,0.7952470930232558,0.8893155180672354,0.888956632985296,54713,54713,54713,54713,16.56174574820707,16.561745748207098,16.521108787380943,0.549243666755198,0.45850252306277167,16.521108787380943,0.0,0.0,-0.0003588850819393752
burst,14,31866.15117308204,27505.68104095021,31884.93383151333,27505.68104095021,0.5845191265011884,0.5042380436112525,0.7928633720930233,0.7928633720930233,0.7928633720930233,0.7928633720930233,0.8896831793567765,0.8890597906040013,54549,54549,54549,54549,13.734551916287508,13.734551916287506,13.68370503374503,0.5841748001444946,0.5042380436112525,13.68370503374503,0.0,0.0,-0.0006233887527752335
burst,15,29336.40354925141,24996.298020232836,29350.98051803057,24996.298020232836,0.5381057937121747,0.458269282614957,0.7928052325581395,0.7928052325581395,0.7928052325581395,0.7928052325581395,0.8893988056073371,0.8890077681881522,54545,54545,54545,54545,14.83658269992927,14.836582699929295,14.794265840160632,0.5378385470575013,0.45826928261495714,14.794265840160634,0.0,0.0,-0.000391037419184892
burst,16,27369.558775133297,22799.81069947849,27381.035104902458,22799.81069947849,0.5013280682736594,0.4174489755841312,0.7938517441860465,0.7938517441860465,0.7938517441860465,0.7938517441860465,0.8897902290291936,0.8894732574584738,54617,54617,54617,54617,16.731377714072316,16.7313777140723,16.69646234782077,0.501117944506899,0.41744897558413113,16.69646234782078,0.0,0.0,-0.00031697157071974846
burst,17,31082.25392113321,26129.483340098875,31097.838482641768,26129.483340098875,0.5701422426415695,0.4790533026565502,0.7927906976744186,0.7927906976744186,0.7927906976744186,0.7927906976744186,0.8894923065250397,0.8891250988877365,54544,54544,54544,54544,15.976528868127394,15.9765288681274,15.934399717605052,0.5698565180612571,0.4790533026565502,15.934399717605048,0.0,0.0,-0.00036720763730324624
burst,18,32521.054784126954,27718.743069683176,32536.51105546376,27718.743069683176,0.5900495276824156,0.50267932011322,0.8014825581395348,0.8014825581395348,0.8014825581395348,0.8014825581395348,0.8897430187758274,0.8893697092401128,55142,55142,55142,55142,14.807266758159527,14.807266758159516,14.766777234998282,0.5897692282493735,0.50267932011322,14.76677723499827,0.0,0.0,-0.00037330953571457215
burst,19,29946.633318144,25170.74492886399,29958.12985633809,25170.74492886399,0.5451492130934616,0.4580329899345632,0.79875,0.79875,0.79875,0.79875,0.8897510169921596,0.8894289099084991,54954,54954,54954,54954,15.980252941126956,15.98025294112697,15.947997688228957,0.5449400101565672,0.45803298993456326,15.947997688228956,0.0,0.0,-0.00032210708366053886
burst,20,28333.81660860397,23674.542464472823,28345.83425614929,23674.542464472823,0.516063762014115,0.4310183054685824,0.7983575581395349,0.7983575581395349,0.7983575581395349,0.7983575581395349,0.8899945031643255,0.8896341416827178,54927,54927,54927,54927,16.479641239216964,16.479641239216964,16.44421649399782,0.5158449689333838,0.43101830546858233,16.444216493997832,0.0,0.0,-0.0003603614816076739
burst,21,31081.881675242243,26006.05601391743,31096.69334010801,26006.05601391743,0.5702467054226511,0.476895327769336,0.7926162790697674,0.7926162790697674,0.7926162790697674,0.7926162790697674,0.8898386331270115,0.8894618589023632,54532,54532,54532,54532,16.370349318217567,16.370349318217563,16.330496700165604,0.5699750912352791,0.476895327769336,16.330496700165597,0.0,0.0,-0.0003767742246483241
burst,22,30013.93288524602,25668.09635663315,30027.930086501936,25668.09635663315,0.5497909091766654,0.4699653286821529,0.7938517441860465,0.7938517441860465,0.7938517441860465,0.7938517441860465,0.8893667613532893,0.8890076912589476,54617,54617,54617,54617,14.519261625124825,14.519261625124832,14.479397102767425,0.5495346299731956,0.46996532868215296,14.479397102767432,0.0,0.0,-0.0003590700943416625
burst,23,31817.80491278741,26958.26522786905,31834.965625501703,26958.26522786905,0.579713477656409,0.4909089543452436,0.7981831395348837,0.7981831395348837,0.7981831395348837,0.7981831395348837,0.8891514161870081,0.8887317995636626,54915,54915,54915,54915,15.318692204668583,15.31869220466857,15.273019927799407,0.579400981749748,0.49090895434524356,15.273019927799405,0.0,0.0,-0.0004196166233455534
burst,24,30465.66426295646,25306.238679425936,30482.448570358312,25306.238679425936,0.5552864299181768,0.4609935090522987,0.7978924418604652,0.7978924418604652,0.7978924418604652,0.7978924418604652,0.8899481898496739,0.8895397062017706,54895,54895,54895,54895,16.980951772902575,16.980951772902582,16.93521447291706,0.5549806769825386,0.4609935090522987,16.935214472917053,0.0,0.0,-0.0004084836479033571
