N,M,seed,assigned_MOI,assigned_PASI,tasks_MOI,tasks_PASI,coverage_MOI,coverage_PASI,design_reserve_MOI,design_reserve_PASI,execution_settlement_MOI,execution_settlement_PASI,design_reserve_saving_pct,execution_settlement_saving_pct,coverage_diff_pp
25,20,1,16833.0,16833.0,20000.0,20000.0,0.84165,0.84165,12993.338277509798,11226.39654254922,12998.975518113402,11226.39654254922,13.598828085765923,13.636297515094054,0.0
25,20,2,16861.0,16861.0,20000.0,20000.0,0.84305,0.84305,11234.993145708904,9799.846962421343,11239.210941761074,9799.846962421343,12.773894604783997,12.806628390535357,0.0
25,20,3,16899.0,16899.0,20000.0,20000.0,0.84495,0.84495,11970.519701211779,10024.45274899037,11977.036453746556,10024.45274899037,16.25716343814553,16.302728244142518,0.0
25,20,4,16792.0,16792.0,20000.0,20000.0,0.8396,0.8396,12428.41619070489,10264.486526275155,12437.985092692928,10264.486526275155,17.411145806720885,17.47468380304348,0.0
25,20,5,16795.0,16795.0,20000.0,20000.0,0.83975,0.83975,10909.045009521538,9238.299039197034,10916.030809294156,9238.299039197034,15.315235832891494,15.369430513778537,0.0
25,20,6,16886.0,16886.0,20000.0,20000.0,0.8443,0.8443,12657.129812760335,11111.782113456287,12662.840321377838,11111.782113456287,12.209305918203505,12.248896523657503,0.0
25,20,7,16862.0,16862.0,20000.0,20000.0,0.8431,0.8431,12233.932842361412,10434.781660058694,12239.857089149882,10434.781660058694,14.706237196864025,14.747520464853391,0.0
25,20,8,16838.0,16838.0,20000.0,20000.0,0.8419,0.8419,11163.874407085666,9663.455503120302,11169.406190046113,9663.455503120302,13.439947900283212,13.482817808773717,0.0
25,20,9,16803.0,16803.0,20000.0,20000.0,0.84015,0.84015,11010.954714520396,9627.533348665753,11017.068084555389,9627.533348665753,12.564045550294512,12.612563753124096,0.0
25,20,10,16803.0,16803.0,20000.0,20000.0,0.84015,0.84015,11642.939093850198,10150.067921707443,11650.120503195447,10150.067921707443,12.822116135016891,12.875854640958973,0.0
50,40,1,33794.0,33794.0,40000.0,40000.0,0.84485,0.84485,22740.562443659517,19374.907448677906,22749.123635319036,19374.907448677906,14.80022758153028,14.832290864174247,0.0
50,40,2,33709.0,33709.0,40000.0,40000.0,0.842725,0.842725,22424.861185222377,19566.183492775082,22432.695938064426,19566.183492775082,12.747805521896016,12.778278871178228,0.0
50,40,3,33872.0,33872.0,40000.0,40000.0,0.8468,0.8468,23972.159896138375,20069.719564601393,23984.094362925098,20069.719564601393,16.279051818629064,16.320711297628122,0.0
