scenario,method,seed,condition,assigned,tasks,coverage,design_reserve,execution_settlement,design_pps,settlement_pps,coverage_first_calls,ir_violations,target_violations,event_fingerprints
stationary,MOI,601,normal,67767,80000,0.8470875,48164.03202950473,48184.61772044842,0.7107298837119059,0.7110336553255776,1000,0,0,"{""provider_static"": ""303a3f094ef41fd29c023ab245ad7b98b8e4927dbd5d623ed48726433c2c6777"", ""providers"": ""b36bf4041420600621b97a0c187090db29c9c97ecd65bcd9bae60ef83a6e3163"", ""tasks"": ""cbdc9c99f50a3e382f5792b89a8e1c4a38d3449656fbc08ecf0c2a21b49948a8""}"
stationary,MOI,601,reset,67767,80000,0.8470875,48164.03202950473,48184.404445641194,0.7107298837119059,0.7110305081476411,1000,0,0,"{""provider_static"": ""303a3f094ef41fd29c023ab245ad7b98b8e4927dbd5d623ed48726433c2c6777"", ""providers"": ""b36bf4041420600621b97a0c187090db29c9c97ecd65bcd9bae60ef83a6e3163"", ""tasks"": ""cbdc9c99f50a3e382f5792b89a8e1c4a38d3449656fbc08ecf0c2a21b49948a8""}"
stationary,PASI,601,normal,67767,80000,0.8470875,41686.73629366666,41686.73629366666,0.6151480262320401,0.6151480262320401,1000,0,0,"{""provider_static"": ""303a3f094ef41fd29c023ab245ad7b98b8e4927dbd5d623ed48726433c2c6777"", ""providers"": ""b36bf4041420600621b97a0c187090db29c9c97ecd65bcd9bae60ef83a6e3163"", ""tasks"": ""cbdc9c99f50a3e382f5792b89a8e1c4a38d3449656fbc08ecf0c2a21b49948a8""}"
stationary,PASI,601,reset,67767,80000,0.8470875,41734.3074307177,41734.3074307177,0.6158500070936842,0.6158500070936842,1000,0,0,"{""provider_static"": ""303a3f094ef41fd29c023ab245ad7b98b8e4927dbd5d623ed48726433c2c6777"", ""providers"": ""b36bf4041420600621b97a0c187090db29c9c97ecd65bcd9bae60ef83a6e3163"", ""tasks"": ""cbdc9c99f50a3e382f5792b89a8e1c4a38d3449656fbc08ecf0c2a21b49948a8""}"
stationary,MOI,602,normal,67446,80000,0.843075,44675.400681138635,44695.317705799534,0.6623876980271423,0.6626830013017753,1000,0,0,"{""provider_static"": ""0af48b255d100ea7bd84f3a33965834d36d0f677891c1c69a0e3cbc2bc6f4eb3"", ""providers"": ""52921c7b8169615d2443a848b7051733b2bf97c65f01d22ffe016d3a0eeb2366"", ""tasks"": ""0a0485a53c64289065891a1622927046ab556107ebbc14ecce824b70caeb759e""}"
stationary,MOI,602,reset,67446,80000,0.843075,44675.400681138635,44695.19689077779,0.6623876980271423,0.6626812100165731,1000,0,0,"{""provider_static"": ""0af48b255d100ea7bd84f3a33965834d36d0f677891c1c69a0e3cbc2bc6f4eb3"", ""providers"": ""52921c7b8169615d2443a848b7051733b2bf97c65f01d22ffe016d3a0eeb2366"", ""tasks"": ""0a0485a53c64289065891a1622927046ab556107ebbc14ecce824b70caeb759e""}"
stationary,PASI,602,normal,67446,80000,0.843075,38384.73820236471,38384.73820236471,0.5691180826493003,0.5691180826493003,1000,0,0,"{""provider_static"": ""0af48b255d100ea7bd84f3a33965834d36d0f677891c1c69a0e3cbc2bc6f4eb3"", ""providers"": ""52921c7b8169615d2443a848b7051733b2bf97c65f01d22ffe016d3a0eeb2366"", ""tasks"": ""0a0485a53c64289065891a1622927046ab556107ebbc14ecce824b70caeb759e""}"
stationary,PASI,602,reset,67446,80000,0.843075,38438.276872259565,38438.276872259565,0.5699118831696404,0.5699118831696404,1000,0,0,"{""provider_static"": ""0af48b255d100ea7bd84f3a33965834d36d0f677891c1c69a0e3cbc2bc6f4eb3"", ""providers"": ""52921c7b8169615d2443a848b7051733b2bf97c65f01d22ffe016d3a0eeb2366"", ""tasks"": ""0a0485a53c64289065891a1622927046ab556107ebbc14ecce824b70caeb759e""}"
stationary,MOI,603,normal,67597,80000,0.8449625,42064.69093703173,42084.66584538404,0.6222863579305551,0.6225818578544025,1000,0,0,"{""provider_static"": ""6f4ae2d558acdcdaf56f515e53bc747ebbe59eeda152271e4caadf5bd65fe8eb"", ""providers"": ""7b7a80f3dd0fcb6e94bf49dca0c33aed721c58b6679d5265e3a4256dd90fb2d2"", ""tasks"": ""1e0af323414c954149c69762e9ad396ed7b117914d16f633560fdb06663dfb9b""}"
stationary,MOI,603,reset,67597,80000,0.8449625,42064.69093703173,42084.505855361946,0.6222863579305551,0.6225794910330628,1000,0,0,"{""provider_static"": ""6f4ae2d558acdcdaf56f515e53bc747ebbe59eeda152271e4caadf5bd65fe8eb"", ""providers"": ""7b7a80f3dd0fcb6e94bf49dca0c33aed721c58b6679d5265e3a4256dd90fb2d2"", ""tasks"": ""1e0af323414c954149c69762e9ad396ed7b117914d16f633560fdb06663dfb9b""}"
